Rank,JobID,Score,Role,Query
190,J000568,1,"Data Analyst","sql"
191,J000569,1,"Data Analyst","sql"
192,J000571,1,"Data Analyst","sql"
193,J000581,1,"Data Scientist","sql"
194,J000582,1,"Data Analyst","sql"
195,J000594,1,"Data Analyst","sql"
196,J000596,1,"Data Analyst","sql"
197,J000597,1,"Data Scientist","sql"
198,J000598,1,"Data Analyst","sql"
199,J000605,1,"Data Scientist","sql"
200,J000606,1,"Data Analyst","sql"
201,J000607,1,"Data Analyst","sql"
202,J000610,1,"Data Scientist","sql"
203,J000620,1,"Data Scientist","sql"
204,J000624,1,"Data Scientist","sql"
205,J000627,1,"Data Analyst","sql"
206,J000628,1,"Data Scientist","sql"
207,J000629,1,"Data Scientist","sql"
208,J000631,1,"Data Analyst","sql"
209,J000634,1,"Data Analyst","sql"
210,J000636,1,"Data Analyst","sql"
211,J000639,1,"Data Scientist","sql"
212,J000642,1,"Data Scientist","sql"
213,J000644,1,"Data Analyst","sql"
214,J000645,1,"Data Scientist","sql"
215,J000648,1,"Data Analyst","sql"
216,J000650,1,"Data Scientist","sql"
217,J000651,1,"Data Analyst","sql"
218,J000653,1,"Data Scientist","sql"
219,J000655,1,"Data Analyst","sql"
220,J000657,1,"Data Analyst","sql"
221,J000658,1,"Data Scientist","sql"
222,J000662,1,"Data Scientist","sql"
223,J000663,1,"Data Scientist","sql"
224,J000669,1,"Data Analyst","sql"
225,J000678,1,"Data Analyst","sql"
226,J000679,1,"Data Analyst","sql"
227,J000684,1,"Data Scientist","sql"
228,J000685,1,"Data Scientist","sql"
229,J000689,1,"Data Scientist","sql"
230,J000694,1,"Data Analyst","sql"
231,J000699,1,"Data Scientist","sql"
232,J000700,1,"Data Analyst","sql"
233,J000702,1,"Data Scientist","sql"
234,J000703,1,"Data Analyst","sql"
235,J000704,1,"Data Analyst","sql"
236,J000709,1,"Data Analyst","sql"
237,J000726,1,"Data Scientist","sql"
238,J000727,1,"Data Scientist","sql"
239,J000734,1,"Data Analyst","sql"
240,J000736,1,"Data Analyst","sql"
241,J000740,1,"Data Scientist","sql"
242,J000743,1,"Data Analyst","sql"
243,J000747,1,"Data Analyst","sql"
244,J000754,1,"Data Scientist","sql"
245,J000757,1,"Data Scientist","sql"
246,J000761,1,"Data Scientist","sql"
247,J000764,1,"Data Scientist","sql"
248,J000766,1,"Data Scientist","sql"
249,J000767,1,"Data Scientist","sql"
250,J000768,1,"Data Analyst","sql"
251,J000773,1,"Data Analyst","sql"
252,J000776,1,"Data Analyst","sql"
253,J000782,1,"Data Scientist","sql"
254,J000783,1,"Data Scientist","sql"
255,J000785,1,"Data Analyst","sql"
256,J000789,1,"Data Analyst","sql"
257,J000791,1,"Data Analyst","sql"
258,J000795,1,"Data Scientist","sql"
259,J000796,1,"Data Analyst","sql"
260,J000799,1,"Data Scientist","sql"
261,J000802,1,"Data Scientist","sql"
262,J000804,1,"Data Analyst","sql"
263,J000805,1,"Data Scientist","sql"
264,J000806,1,"Data Analyst","sql"
265,J000819,1,"Data Analyst","sql"
266,J000824,1,"Data Analyst","sql"
267,J000830,1,"Data Scientist","sql"
268,J000832,1,"Data Analyst","sql"
269,J000833,1,"Data Scientist","sql"
270,J000834,1,"Data Scientist","sql"
271,J000837,1,"Data Scientist","sql"
272,J000840,1,"Data Analyst","sql"
273,J000842,1,"Data Scientist","sql"
274,J000846,1,"Data Scientist","sql"
275,J000848,1,"Data Analyst","sql"
276,J000849,1,"Data Scientist","sql"
277,J000860,1,"Data Scientist","sql"
278,J000862,1,"Data Analyst","sql"
279,J000863,1,"Data Scientist","sql"
280,J000866,1,"Data Analyst","sql"
281,J000868,1,"Data Scientist","sql"
282,J000869,1,"Data Analyst","sql"
283,J000870,1,"Data Scientist","sql"
284,J000871,1,"Data Scientist","sql"
285,J000872,1,"Data Analyst","sql"
286,J000877,1,"Data Analyst","sql"
287,J000883,1,"Data Scientist","sql"
288,J000885,1,"Data Analyst","sql"
289,J000891,1,"Data Analyst","sql"
290,J000893,1,"Data Analyst","sql"
291,J000894,1,"Data Scientist","sql"
292,J000897,1,"Data Scientist","sql"
293,J000898,1,"Data Analyst","sql"
294,J000900,1,"Data Scientist","sql"
295,J000901,1,"Data Scientist","sql"
296,J000903,1,"Data Scientist","sql"
297,J000906,1,"Data Analyst","sql"
298,J000909,1,"Data Scientist","sql"
299,J000912,1,"Data Scientist","sql"
300,J000916,1,"Data Analyst","sql"
301,J000918,1,"Data Scientist","sql"
302,J000922,1,"Data Analyst","sql"
303,J000931,1,"Data Scientist","sql"
304,J000932,1,"Data Analyst","sql"
305,J000935,1,"Data Analyst","sql"
306,J000936,1,"Data Scientist","sql"
307,J000946,1,"Data Scientist","sql"
308,J000954,1,"Data Scientist","sql"
309,J000959,1,"Data Analyst","sql"
310,J000961,1,"Data Analyst","sql"
311,J000970,1,"Data Analyst","sql"
312,J000971,1,"Data Scientist","sql"
313,J000974,1,"Data Analyst","sql"
314,J000979,1,"Data Analyst","sql"
315,J000983,1,"Data Analyst","sql"
316,J000984,1,"Data Analyst","sql"
317,J000988,1,"Data Analyst","sql"
318,J000989,1,"Data Scientist","sql"
319,J000991,1,"Data Scientist","sql"
320,J000995,1,"Data Scientist","sql"
321,J000996,1,"Data Analyst","sql"
322,J000999,1,"Data Scientist","sql"
323,J001012,1,"Data Scientist","sql"
324,J001014,1,"Data Scientist","sql"
325,J001018,1,"Data Analyst","sql"
326,J001020,1,"Data Scientist","sql"
327,J001022,1,"Data Scientist","sql"
328,J001023,1,"Data Scientist","sql"
329,J001026,1,"Data Analyst","sql"
330,J001032,1,"Data Scientist","sql"
331,J001036,1,"Data Scientist","sql"
332,J001038,1,"Data Analyst","sql"
333,J001041,1,"Data Scientist","sql"
334,J001044,1,"Data Analyst","sql"
335,J001049,1,"Data Scientist","sql"
336,J001051,1,"Data Analyst","sql"
337,J001052,1,"Data Analyst","sql"
338,J001054,1,"Data Scientist","sql"
339,J001059,1,"Data Analyst","sql"
340,J001060,1,"Data Analyst","sql"
341,J001061,1,"Data Analyst","sql"
342,J001062,1,"Data Scientist","sql"
343,J001065,1,"Data Analyst","sql"
344,J001069,1,"Data Scientist","sql"
345,J001072,1,"Data Scientist","sql"
346,J001073,1,"Data Analyst","sql"
347,J001078,1,"Data Analyst","sql"
348,J001080,1,"Data Analyst","sql"
349,J001082,1,"Data Scientist","sql"
350,J001088,1,"Data Analyst","sql"
351,J001090,1,"Data Analyst","sql"
352,J001092,1,"Data Scientist","sql"
353,J001094,1,"Data Scientist","sql"
354,J001095,1,"Data Scientist","sql"
355,J001096,1,"Data Scientist","sql"
356,J001097,1,"Data Analyst","sql"
357,J001100,1,"Data Scientist","sql"
358,J001102,1,"Data Scientist","sql"
359,J001108,1,"Data Analyst","sql"
360,J001110,1,"Data Scientist","sql"
361,J001113,1,"Data Analyst","sql"
362,J001118,1,"Data Scientist","sql"
363,J001119,1,"Data Scientist","sql"
364,J001123,1,"Data Scientist","sql"
365,J001124,1,"Data Analyst","sql"
366,J001126,1,"Data Scientist","sql"
367,J001127,1,"Data Analyst","sql"
368,J001128,1,"Data Analyst","sql"
369,J001131,1,"Data Scientist","sql"
370,J001135,1,"Data Scientist","sql"
371,J001136,1,"Data Analyst","sql"
372,J001141,1,"Data Analyst","sql"
373,J001144,1,"Data Scientist","sql"
374,J001145,1,"Data Analyst","sql"
375,J001149,1,"Data Scientist","sql"
376,J001152,1,"Data Analyst","sql"
377,J001153,1,"Data Analyst","sql"
378,J001154,1,"Data Scientist","sql"
379,J001160,1,"Data Analyst","sql"
380,J001161,1,"Data Analyst","sql"
381,J001164,1,"Data Scientist","sql"
382,J001166,1,"Data Scientist","sql"
383,J001167,1,"Data Analyst","sql"
384,J001168,1,"Data Analyst","sql"
385,J001169,1,"Data Analyst","sql"
386,J001171,1,"Data Scientist","sql"
387,J001177,1,"Data Scientist","sql"
388,J001179,1,"Data Analyst","sql"
389,J001182,1,"Data Analyst","sql"
390,J001183,1,"Data Scientist","sql"
391,J001188,1,"Data Scientist","sql"
392,J001192,1,"Data Analyst","sql"
393,J001193,1,"Data Analyst","sql"
394,J001195,1,"Data Scientist","sql"
395,J001196,1,"Data Analyst","sql"
396,J001198,1,"Data Analyst","sql"
397,J001199,1,"Data Analyst","sql"
398,J001206,1,"Data Analyst","sql"
399,J001210,1,"Data Analyst","sql"
400,J001217,1,"Data Analyst","sql"
401,J001220,1,"Data Analyst","sql"
402,J001222,1,"Data Analyst","sql"
403,J001231,1,"Data Scientist","sql"
404,J001234,1,"Data Scientist","sql"
405,J001236,1,"Data Scientist","sql"
406,J001239,1,"Data Scientist","sql"
407,J001241,1,"Data Scientist","sql"
408,J001242,1,"Data Analyst","sql"
409,J001243,1,"Data Analyst","sql"
410,J001245,1,"Data Analyst","sql"
411,J001251,1,"Data Analyst","sql"
412,J001262,1,"Data Analyst","sql"
413,J001265,1,"Data Scientist","sql"
414,J001272,1,"Data Scientist","sql"
415,J001275,1,"Data Analyst","sql"
416,J001276,1,"Data Analyst","sql"
417,J001277,1,"Data Analyst","sql"
418,J001278,1,"Data Scientist","sql"
419,J001283,1,"Data Scientist","sql"
420,J001284,1,"Data Analyst","sql"
421,J001285,1,"Data Scientist","sql"
422,J001293,1,"Data Scientist","sql"
423,J001297,1,"Data Analyst","sql"
424,J001301,1,"Data Analyst","sql"
425,J001302,1,"Data Scientist","sql"
426,J001304,1,"Data Analyst","sql"
427,J001305,1,"Data Scientist","sql"
428,J001312,1,"Data Scientist","sql"
429,J001316,1,"Data Analyst","sql"
430,J001322,1,"Data Scientist","sql"
431,J001323,1,"Data Analyst","sql"
432,J001325,1,"Data Scientist","sql"
433,J001331,1,"Data Scientist","sql"
434,J001334,1,"Data Analyst","sql"
435,J001337,1,"Data Analyst","sql"
436,J001338,1,"Data Analyst","sql"
437,J001346,1,"Data Analyst","sql"
438,J001348,1,"Data Analyst","sql"
439,J001361,1,"Data Analyst","sql"
440,J001362,1,"Data Analyst","sql"
441,J001363,1,"Data Scientist","sql"
442,J001364,1,"Data Scientist","sql"
443,J001367,1,"Data Scientist","sql"
444,J001370,1,"Data Scientist","sql"
445,J001371,1,"Data Scientist","sql"
446,J001375,1,"Data Scientist","sql"
447,J001377,1,"Data Scientist","sql"
448,J001378,1,"Data Scientist","sql"
449,J001391,1,"Data Scientist","sql"
450,J001393,1,"Data Scientist","sql"
451,J001399,1,"Data Scientist","sql"
452,J001401,1,"Data Scientist","sql"
453,J001402,1,"Data Scientist","sql"
454,J001403,1,"Data Analyst","sql"
455,J001405,1,"Data Scientist","sql"
456,J001406,1,"Data Scientist","sql"
457,J001409,1,"Data Analyst","sql"
458,J001411,1,"Data Scientist","sql"
459,J001418,1,"Data Scientist","sql"
460,J001419,1,"Data Scientist","sql"
461,J001420,1,"Data Scientist","sql"
462,J001421,1,"Data Scientist","sql"
463,J001432,1,"Data Scientist","sql"
464,J001433,1,"Data Scientist","sql"
465,J001440,1,"Data Scientist","sql"
466,J001441,1,"Data Analyst","sql"
467,J001447,1,"Data Scientist","sql"
468,J001448,1,"Data Scientist","sql"
469,J001453,1,"Data Scientist","sql"
470,J001456,1,"Data Scientist","sql"
471,J001458,1,"Data Scientist","sql"
472,J001459,1,"Data Analyst","sql"
473,J001460,1,"Data Scientist","sql"
474,J001466,1,"Data Scientist","sql"
475,J001467,1,"Data Scientist","sql"
476,J001473,1,"Data Analyst","sql"
477,J001480,1,"Data Scientist","sql"
478,J001481,1,"Data Scientist","sql"
479,J001489,1,"Data Scientist","sql"
480,J001490,1,"Data Analyst","sql"
481,J001491,1,"Data Scientist","sql"
482,J001493,1,"Data Analyst","sql"
483,J001495,1,"Data Analyst","sql"
484,J001497,1,"Data Analyst","sql"
485,J001519,1,"Data Analyst","sql"
486,J001523,1,"Data Analyst","sql"
487,J001525,1,"Data Scientist","sql"
488,J001527,1,"Data Scientist","sql"
489,J001529,1,"Data Analyst","sql"
490,J001531,1,"Data Scientist","sql"
491,J001535,1,"Data Analyst","sql"
492,J001537,1,"Data Scientist","sql"
493,J001539,1,"Data Scientist","sql"
494,J001540,1,"Data Scientist","sql"
495,J001541,1,"Data Scientist","sql"
496,J001546,1,"Data Analyst","sql"
497,J001547,1,"Data Analyst","sql"
498,J001550,1,"Data Analyst","sql"
499,J001551,1,"Data Scientist","sql"
500,J001558,1,"Data Scientist","sql"
501,J001559,1,"Data Analyst","sql"
502,J001562,1,"Data Analyst","sql"
503,J001563,1,"Data Scientist","sql"
504,J001564,1,"Data Analyst","sql"
505,J001565,1,"Data Scientist","sql"
506,J001578,1,"Data Scientist","sql"
507,J001581,1,"Data Analyst","sql"
508,J001587,1,"Data Scientist","sql"
509,J001591,1,"Data Analyst","sql"
510,J001593,1,"Data Analyst","sql"
511,J001595,1,"Data Scientist","sql"
512,J001604,1,"Data Scientist","sql"
513,J001607,1,"Data Analyst","sql"
514,J001609,1,"Data Scientist","sql"
515,J001614,1,"Data Analyst","sql"
516,J001615,1,"Data Analyst","sql"
517,J001619,1,"Data Scientist","sql"
518,J001623,1,"Data Analyst","sql"
519,J001628,1,"Data Analyst","sql"
520,J001631,1,"Data Analyst","sql"
521,J001634,1,"Data Scientist","sql"
522,J001639,1,"Data Analyst","sql"
523,J001645,1,"Data Analyst","sql"
524,J001647,1,"Data Scientist","sql"
525,J001648,1,"Data Analyst","sql"
526,J001650,1,"Data Scientist","sql"
527,J001654,1,"Data Analyst","sql"
528,J001659,1,"Data Analyst","sql"
529,J001667,1,"Data Scientist","sql"
530,J001668,1,"Data Scientist","sql"
531,J001679,1,"Data Analyst","sql"
532,J001682,1,"Data Analyst","sql"
533,J001686,1,"Data Scientist","sql"
534,J001687,1,"Data Analyst","sql"
535,J001688,1,"Data Scientist","sql"
536,J001691,1,"Data Analyst","sql"
537,J001694,1,"Data Analyst","sql"
538,J001696,1,"Data Analyst","sql"
539,J001698,1,"Data Scientist","sql"
540,J001699,1,"Data Scientist","sql"
541,J001700,1,"Data Analyst","sql"
542,J001701,1,"Data Analyst","sql"
543,J001711,1,"Data Analyst","sql"
544,J001714,1,"Data Scientist","sql"
545,J001717,1,"Data Analyst","sql"
546,J001719,1,"Data Scientist","sql"
547,J001721,1,"Data Analyst","sql"
548,J001722,1,"Data Scientist","sql"
549,J001730,1,"Data Analyst","sql"
550,J001731,1,"Data Scientist","sql"
551,J001732,1,"Data Scientist","sql"
552,J001742,1,"Data Scientist","sql"
553,J001745,1,"Data Scientist","sql"
554,J001749,1,"Data Scientist","sql"
555,J001750,1,"Data Scientist","sql"
556,J001755,1,"Data Scientist","sql"
557,J001757,1,"Data Analyst","sql"
558,J001760,1,"Data Analyst","sql"
559,J001764,1,"Data Analyst","sql"
560,J001766,1,"Data Scientist","sql"
561,J001769,1,"Data Analyst","sql"
562,J001771,1,"Data Analyst","sql"
563,J001772,1,"Data Analyst","sql"
564,J001774,1,"Data Analyst","sql"
565,J001781,1,"Data Scientist","sql"
566,J001782,1,"Data Analyst","sql"
567,J001784,1,"Data Analyst","sql"
568,J001786,1,"Data Analyst","sql"
569,J001787,1,"Data Analyst","sql"
570,J001789,1,"Data Analyst","sql"
571,J001793,1,"Data Scientist","sql"
572,J001795,1,"Data Scientist","sql"
573,J001804,1,"Data Scientist","sql"
574,J001805,1,"Data Scientist","sql"
575,J001808,1,"Data Scientist","sql"
576,J001812,1,"Data Analyst","sql"
577,J001813,1,"Data Scientist","sql"
578,J001815,1,"Data Analyst","sql"
579,J001816,1,"Data Scientist","sql"
580,J001817,1,"Data Analyst","sql"
581,J001819,1,"Data Analyst","sql"
582,J001824,1,"Data Scientist","sql"
583,J001830,1,"Data Scientist","sql"
584,J001835,1,"Data Analyst","sql"
585,J001845,1,"Data Scientist","sql"
586,J001847,1,"Data Analyst","sql"
587,J001850,1,"Data Scientist","sql"
588,J001851,1,"Data Scientist","sql"
589,J001852,1,"Data Analyst","sql"
590,J001856,1,"Data Analyst","sql"
591,J001857,1,"Data Analyst","sql"
592,J001861,1,"Data Scientist","sql"
593,J001866,1,"Data Analyst","sql"
594,J001868,1,"Data Analyst","sql"
595,J001869,1,"Data Analyst","sql"
596,J001870,1,"Data Analyst","sql"
597,J001876,1,"Data Analyst","sql"
598,J001884,1,"Data Scientist","sql"
599,J001885,1,"Data Analyst","sql"
600,J001889,1,"Data Analyst","sql"
601,J001890,1,"Data Scientist","sql"
602,J001895,1,"Data Scientist","sql"
603,J001901,1,"Data Scientist","sql"
604,J001903,1,"Data Analyst","sql"
605,J001912,1,"Data Analyst","sql"
606,J001916,1,"Data Analyst","sql"
607,J001923,1,"Data Analyst","sql"
608,J001930,1,"Data Analyst","sql"
609,J001931,1,"Data Scientist","sql"
610,J001941,1,"Data Analyst","sql"
611,J001943,1,"Data Scientist","sql"
612,J001946,1,"Data Analyst","sql"
613,J001951,1,"Data Analyst","sql"
614,J001957,1,"Data Scientist","sql"
615,J001960,1,"Data Analyst","sql"
616,J001962,1,"Data Analyst","sql"
617,J001965,1,"Data Scientist","sql"
618,J001969,1,"Data Analyst","sql"
619,J001979,1,"Data Scientist","sql"
620,J001983,1,"Data Scientist","sql"
621,J001984,1,"Data Scientist","sql"
622,J001985,1,"Data Scientist","sql"
623,J001987,1,"Data Analyst","sql"
624,J001988,1,"Data Analyst","sql"
625,J001990,1,"Data Analyst","sql"
626,J001992,1,"Data Analyst","sql"
627,J001995,1,"Data Scientist","sql"
628,J002003,1,"Data Analyst","sql"
629,J002005,1,"Data Analyst","sql"
630,J002011,1,"Data Analyst","sql"
631,J002012,1,"Data Analyst","sql"
632,J002016,1,"Data Scientist","sql"
633,J002023,1,"Data Scientist","sql"
634,J002024,1,"Data Analyst","sql"
635,J002027,1,"Data Scientist","sql"
636,J002029,1,"Data Analyst","sql"
637,J002031,1,"Data Scientist","sql"
638,J002032,1,"Data Scientist","sql"
639,J002033,1,"Data Analyst","sql"
640,J002035,1,"Data Scientist","sql"
641,J002039,1,"Data Scientist","sql"
642,J002044,1,"Data Analyst","sql"
643,J002045,1,"Data Analyst","sql"
644,J002047,1,"Data Scientist","sql"
645,J002054,1,"Data Analyst","sql"
646,J002057,1,"Data Scientist","sql"
647,J002065,1,"Data Scientist","sql"
648,J002066,1,"Data Analyst","sql"
649,J002067,1,"Data Scientist","sql"
650,J002071,1,"Data Scientist","sql"
651,J002074,1,"Data Scientist","sql"
652,J002077,1,"Data Analyst","sql"
653,J002079,1,"Data Scientist","sql"
654,J002080,1,"Data Analyst","sql"
655,J002083,1,"Data Analyst","sql"
656,J002084,1,"Data Scientist","sql"
657,J002088,1,"Data Analyst","sql"
658,J002089,1,"Data Scientist","sql"
659,J002091,1,"Data Scientist","sql"
660,J002097,1,"Data Scientist","sql"
661,J002100,1,"Data Analyst","sql"
662,J002102,1,"Data Analyst","sql"
663,J002104,1,"Data Analyst","sql"
664,J002105,1,"Data Scientist","sql"
665,J002107,1,"Data Analyst","sql"
666,J002109,1,"Data Analyst","sql"
667,J002110,1,"Data Analyst","sql"
668,J002112,1,"Data Scientist","sql"
669,J002114,1,"Data Scientist","sql"
670,J002117,1,"Data Analyst","sql"
671,J002119,1,"Data Scientist","sql"
672,J002120,1,"Data Scientist","sql"
673,J002121,1,"Data Scientist","sql"
674,J002123,1,"Data Analyst","sql"
675,J002129,1,"Data Scientist","sql"
676,J002136,1,"Data Scientist","sql"
677,J002137,1,"Data Analyst","sql"
678,J002138,1,"Data Scientist","sql"
679,J002139,1,"Data Analyst","sql"
680,J002140,1,"Data Analyst","sql"
681,J002141,1,"Data Scientist","sql"
682,J002146,1,"Data Scientist","sql"
683,J002148,1,"Data Analyst","sql"
684,J002149,1,"Data Scientist","sql"
685,J002152,1,"Data Analyst","sql"
686,J002166,1,"Data Analyst","sql"
687,J002168,1,"Data Scientist","sql"
688,J002169,1,"Data Analyst","sql"
689,J002170,1,"Data Scientist","sql"
690,J002173,1,"Data Scientist","sql"
691,J002176,1,"Data Analyst","sql"
692,J002177,1,"Data Analyst","sql"
693,J002186,1,"Data Scientist","sql"
694,J002189,1,"Data Analyst","sql"
695,J002191,1,"Data Analyst","sql"
696,J002192,1,"Data Analyst","sql"
697,J002196,1,"Data Scientist","sql"
698,J002197,1,"Data Scientist","sql"
