ResumeID,Cleaned_Skills
R000091,"REST APIs, Spring Boot, Agile, Java, Docker"
R000092,"Java, Spring Boot, System Design"
R000093,"SQL, NLP, Python"
R000094,"Stakeholder Management, Scrum, User Stories, Agile, Product Roadmap"
R000095,"Tableau, Power BI, Data Cleaning"
R000096,"SQL, Python, NLP, Statistics, Pandas, Machine Learning"
R000097,"Java, Docker, System Design"
R000098,"SQL, Deep Learning, NLP, Pandas, Python, Statistics"
R000099,Statistics
R000100,"Machine Learning, NLP, Pandas, TV, Python"
R000101,"PyTorch, Python, Keras, Computer Vision, TensorFlow, MLOps"
R000102,"Java, Docker"
R000103,"Git, REST APIs, System Design, Docker, Java"
R000104,"PyTorch, Keras, Python, TensorFlow, Cloud"
R000105,"PyTorch, Keras, MLOps, Python, TensorFlow, Computer Vision"
R000106,"Cloud, MLOps"
R000107,"Java, Git, Agile"
R000108,"Cloud, Keras, PyTorch, TensorFlow, Computer Vision, MLOps"
R000109,"Power BI, Data Cleaning, Reporting, Excel, Tableau, SQL"
R000110,"Docker, System Design"
R000111,Computer Vision
R000112,"MLOps, Keras"
R000113,"System Design, REST APIs, Java, Spring Boot, Docker"
R000114,"PyTorch, Cloud"
R000115,"Statistics, Deep Learning, Machine Learning"
R000116,"MLOps, Computer Vision, TensorFlow"
R000117,"System Design, Spring Boot"
R000118,"Product Roadmap, Scrum"
R000119,"SQL, Statistics, Machine Learning, Python"
R000120,"Spring Boot, Git, Java, Docker, REST APIs, System Design"
R000121,"PyTorch, Computer Vision, Python, MLOps, Cloud"
R000122,"User Stories, Agile, Stakeholder Management"
R000123,"Tableau, SQL, Data Cleaning, Reporting, Excel"
R000124,"Stakeholder Management, Agile"
R000125,"Agile, REST APIs, System Design, Spring Boot, Git"
R000126,"Excel, Reporting, SQL, Power BI, Data Cleaning, Tableau"
R000127,"SQL, NLP, Pandas"
R000128,"Data Cleaning, Reporting, Power BI"
R000129,"MLOps, Keras, Computer Vision, Python"
R000130,"Keras, MLOps, TensorFlow"
R000131,"Computer Vision, MLOps, Keras, Cloud"
R000132,"Machine Learning, Pandas"
R000133,"PyTorch, Computer Vision, Cloud, TensorFlow"
R000134,"Reporting, Tableau, SQL"
R000135,"Scrum, Agile, Stakeholder Management, Product Roadmap, User Stories"
R000136,"Product Roadmap, User Stories, Stakeholder Management, Scrum"
R000137,"Data Cleaning, Reporting, Excel"
R000138,"Deep Learning, SQL, Pandas, Statistics"
R000139,"Excel, Power BI, Tableau, Data Cleaning, Reporting, SQL"
R000140,"Agile, Spring Boot"
R000141,"Agile, User Stories, Stakeholder Management, Product Roadmap, Scrum"
R000142,"Scrum, Agile, Stakeholder Management, User Stories, Product Roadmap"
R000143,"Machine Learning, NLP, Statistics, Deep Learning"
R000144,"Scrum, User Stories, Product Roadmap"
R000145,"TensorFlow, Computer Vision"
R000146,"Power BI, Data Cleaning"
R000147,"Scrum, Stakeholder Management, Agile"
R000148,"SQL, Tableau, Excel"
R000149,"Pandas, NLP, SQL"
R000150,"Keras, Computer Vision"
R000151,"Excel, Reporting, Power BI, Data Cleaning, Tableau"
R000152,"Statistics, SQL"
R000153,"Excel, Data Cleaning, Tableau, SQL, Power BI, Reporting"
R000154,"Git, REST APIs, Spring Boot"
R000155,"Reporting, Power BI"
R000156,"SQL, Deep Learning"
R000157,"Machine Learning, NLP, Pandas, Python"
R000158,"TensorFlow, PyTorch"
R000159,"Python, NLP, SQL, Pandas, Statistics"
R000160,"Excel, Power BI, SQL, Data Cleaning, Reporting, Tableau"
R000161,"Python, Statistics, SQL, NLP, Pandas"
R000162,"Cloud, Keras, Computer Vision, Python"
R000163,Deep Learning
R000164,"System Design, Spring Boot, REST APIs, Agile, Docker"
R000165,Stakeholder Management
R000166,"Deep Learning, Machine Learning, SQL, NLP"
R000167,"PM, Product Roadmap, Stakeholder Management, Scrum, User Stories, Agile"
R000168,"Data Cleaning, Excel, SQL"
R000169,"Python, Machine Learning, Deep Learning, Statistics, SQL"
R000170,"Computer Vision, PyTorch, Keras, Python"
R000171,"Stakeholder Management, Product Roadmap, Scrum, Agile"
R000172,"Cloud, PyTorch"
R000173,"Docker, Agile, Java, System Design"
R000174,"Power BI, Data Cleaning, Reporting"
R000175,"Stakeholder Management, Scrum, Agile, Product Roadmap"
R000176,"Cloud, PyTorch, Keras, MLOps"
R000177,"Reporting, Excel, Power BI, SQL"
R000178,"Keras, PyTorch, MLOps, Python, TensorFlow, Computer Vision, Cloud"
R000179,"Scrum, User Stories"
R000180,"SQL, Python, NLP, Statistics, Pandas"
R000181,"Statistics, Machine Learning, Python"
R000182,"Java, REST APIs, Agile, Git, System Design"
R000183,"Git, Agile, System Design"
R000184,"Java, Git, Agile, System Design, REST APIs"
R000185,"SQL, NLP, Machine Learning, Deep Learning"
R000186,"Tableau, SQL"
R000187,"Agile, Scrum, Product Roadmap, User Stories, Stakeholder Management"
R000188,"Tableau, SQL, Reporting, Excel"
R000189,"Product Roadmap, User Stories, Stakeholder Management, Scrum, Agile"
R000190,"Spring Boot, Agile, Docker"
R000191,"Git, Docker, System Design"
R000192,"System Design, Java, Docker, REST APIs, Spring Boot"
R000193,"Excel, SQL, Data Cleaning, Power BI"
R000194,"Stakeholder Management, Product Roadmap, Scrum"
R000195,"Data Cleaning, Excel, Power BI, Reporting, SQL"
R000196,"Pandas, SQL, Python, NLP"
R000197,"System Design, Java, Spring Boot"
R000198,"Power BI, Excel, Reporting, Data Cleaning, Tableau"
R000199,"SQL, Tableau, Excel, Reporting"
R000200,"Excel, Data Cleaning, Reporting"
R000201,"Reporting, Power BI, SQL, Data Cleaning, Tableau"
R000202,"Stakeholder Management, Scrum, User Stories, Agile, Product Roadmap"
R000203,"User Stories, Product Roadmap"
R000204,"Power BI, Excel, Reporting, SQL, Data Cleaning, Tableau"
R000205,"Java, REST APIs, Spring Boot"
R000206,"Tableau, Reporting, Excel, SQL, Data Cleaning"
R000207,"Keras, PyTorch, Cloud"
R000208,"Agile, Stakeholder Management"
R000209,"SQL, Statistics, Deep Learning, Machine Learning, Python"
R000210,Python
R000211,"Reporting, Data Cleaning, Power BI, SQL"
R000212,"Statistics, Pandas, SQL"
R000213,"User Stories, Scrum, Agile"
R000214,"Python, Cloud, MLOps"
R000215,"Computer Vision, MLOps, Keras"
R000216,"Product Roadmap, Stakeholder Management, Agile, User Stories"
R000217,"System Design, Git, REST APIs, Docker, Agile"
R000218,"Python, Machine Learning, Statistics"
R000219,"System Design, Java, REST APIs"
R000220,"Statistics, Deep Learning, Machine Learning"
R000221,Agile
R000222,"Python, Pandas, NLP, Deep Learning, Statistics"
R000223,"Excel, Data Cleaning, Tableau, SQL, Reporting"
R000224,"Docker, Agile, Git, System Design, Spring Boot"
R000225,"Agile, User Stories, Stakeholder Management, Scrum"
R000226,"Agile, REST APIs, Git"
R000227,"NLP, Python, Machine Learning, Pandas, Statistics"
R000228,"TensorFlow, Cloud, Python, Computer Vision"
R000229,"Java, REST APIs, Agile"
R000230,"SQL, NLP, Machine Learning"
R000231,"Deep Learning, Statistics, Pandas"
R000232,"TensorFlow, Cloud, Computer Vision, PyTorch"
R000233,"Computer Vision, Cloud, Keras, TensorFlow, PyTorch"
R000234,SQL
R000235,"Statistics, NLP"
R000236,"Cloud, MLOps, Computer Vision"
R000237,"Excel, SQL, Tableau"
R000238,"MLOps, PyTorch, Computer Vision, TensorFlow"
R000239,"MLOps, Computer Vision, Keras, Python"
R000240,"Java, System Design, Git"
R000241,"TensorFlow, PyTorch, Computer Vision, MLOps, Python"
R000242,"Scrum, User Stories, Stakeholder Management, Agile, Product Roadmap"
R000243,"Cloud, Keras, Computer Vision"
R000244,"Scrum, Stakeholder Management, User Stories"
R000245,"Git, Agile, System Design, Java"
R000246,"User Stories, Scrum, Stakeholder Management, Product Roadmap"
R000247,"TensorFlow, Cloud"
R000248,"Git, System Design, REST APIs, Docker, Java, Agile"
R000249,"Scrum, Stakeholder Management, Product Roadmap"
R000250,"Power BI, SQL, Tableau, Reporting"
R000251,"Scrum, Stakeholder Management, User Stories"
R000252,"SQL, NLP, Pandas, Statistics, Machine Learning"
R000253,"Reporting, SQL, Excel, Power BI, Data Cleaning"
R000254,"REST APIs, Spring Boot, Docker, System Design, Git"
R000255,"Power BI, Tableau, Excel, Data Cleaning, SQL"
R000256,"User Stories, Stakeholder Management, Agile, Scrum"
R000257,Python
R000258,"Tableau, Excel, SQL, Reporting, Power BI"
R000259,"Power BI, SQL, Tableau, Reporting, Excel"
R000260,"Machine Learning, NLP, SQL, Deep Learning"
R000261,"Machine Learning, SQL, NLP"
R000262,"NLP, Machine Learning, SQL, Statistics, Pandas, Deep Learning"
R000263,"Pandas, Python"
R000264,"Tableau, Data Cleaning, Reporting, SQL, Excel, Power BI"
R000265,"System Design, Java, Git"
R000266,Tableau
R000267,"Product Roadmap, Stakeholder Management, Agile"
R000268,"User Stories, Scrum, Product Roadmap"
R000269,"Agile, User Stories"
R000270,"NLP, Machine Learning, Python, Pandas, SQL"
R000271,"Python, TensorFlow, Computer Vision"
R000272,"Spring Boot, Agile, System Design, TV, Git, REST APIs"
R000273,"PyTorch, Cloud, Keras, TensorFlow, Python, Computer Vision"
R000274,"Keras, TensorFlow, Computer Vision, Python, Cloud"
R000275,"REST APIs, Java, Docker"
R000276,"MLOps, PyTorch, Keras, TensorFlow, Python"
R000277,SQL
R000278,"Data Cleaning, SQL, Excel"
R000279,"Cloud, Keras, TensorFlow, MLOps"
R000280,"Stakeholder Management, Product Roadmap, Agile"
R000281,"Tableau, Power BI"
R000282,"MLOps, PyTorch, TensorFlow, Keras, Cloud"
R000283,"Java, Docker, Git, Agile, System Design, Spring Boot"
R000284,"Stakeholder Management, Agile"
R000285,"Scrum, Agile, Stakeholder Management, User Stories"
R000286,"Data Cleaning, Power BI, SQL, Excel"
R000287,"Deep Learning, Pandas, Machine Learning, SQL, NLP"
R000288,"Statistics, Machine Learning"
R000289,"MLOps, PyTorch, TensorFlow, Cloud"
R000290,"PyTorch, Keras, TensorFlow, MLOps"
R000291,"Computer Vision, Keras, TensorFlow, PyTorch"
R000292,"Agile, User Stories, Stakeholder Management, Scrum, Product Roadmap"
R000293,"Machine Learning, SQL, NLP, Statistics, Python"
R000294,"Agile, Stakeholder Management"
R000295,"SQL, Tableau, Excel, Reporting, Data Cleaning"
R000296,"Power BI, Reporting, Data Cleaning"
R000297,"MLOps, Python, Keras, Computer Vision, Cloud"
R000298,"Cloud, Python, Keras, MLOps, PyTorch"
R000299,"Data Cleaning, Excel, SQL, Tableau, Power BI"
R000300,"Agile, REST APIs, System Design, Docker"
R000301,"Agile, System Design, Docker"
R000302,"Java, REST APIs, Agile"
R000303,"Deep Learning, SQL, Machine Learning"
R000304,"Agile, Product Roadmap, Stakeholder Management, User Stories, Scrum"
R000305,"System Design, REST APIs, Docker"
R000306,"Python, Keras"
R000307,"System Design, Spring Boot, Git, Docker, Java"
R000308,"Tableau, Data Cleaning, SQL, TV, Reporting"
R000309,"TensorFlow, Computer Vision, PyTorch"
R000310,"Power BI, Excel, Tableau"
R000311,"Deep Learning, Pandas, Machine Learning, NLP"
R000312,"MLOps, TensorFlow, Python"
R000313,"Scrum, User Stories, Stakeholder Management, Product Roadmap"
R000314,"System Design, Java, Docker, Spring Boot, Agile"
R000315,"Deep Learning, Statistics, Machine Learning, Python, Pandas, SQL"
R000316,Machine Learning
R000317,"Stakeholder Management, Scrum"
R000318,"MLOps, PyTorch, Python, Cloud"
R000319,"Python, Cloud, MLOps"
R000320,"Scrum, Stakeholder Management, Product Roadmap, User Stories"
R000321,"Pandas, Deep Learning, Machine Learning, NLP, Python"
R000322,"Java, Docker"
R000323,"Machine Learning, Pandas, NLP, Statistics, SQL"
R000324,"Power BI, Excel, Reporting, Data Cleaning"
R000325,"Data Cleaning, SQL, Power BI"
R000326,"Product Roadmap, Stakeholder Management, User Stories, Agile"
R000327,"Machine Learning, NLP, Pandas, Statistics"
R000328,"Machine Learning, SQL, Statistics"
R000329,"Java, System Design, Git, Agile"
R000330,"TensorFlow, Keras, Computer Vision, Python, Cloud, MLOps"
R000331,"Product Roadmap, Stakeholder Management"
R000332,"Excel, SQL, Tableau, Data Cleaning, Power BI"
R000333,"REST APIs, Docker, Git, System Design"
R000334,"Machine Learning, Deep Learning"
R000335,"Tableau, Data Cleaning, Reporting, Excel"
R000336,"User Stories, Product Roadmap"
R000337,"Data Cleaning, Excel, Power BI, Reporting, Tableau"
R000338,"MLOps, Cloud, Computer Vision, Python, TensorFlow, PyTorch"
R000339,"Machine Learning, Deep Learning, NLP, Pandas, Statistics, SQL"
R000340,"Python, NLP, SQL, Pandas, Deep Learning"
R000341,"Machine Learning, NLP, Deep Learning, SQL, Statistics"
R000342,"Git, REST APIs"
R000343,"Keras, Computer Vision, TensorFlow, Cloud, PyTorch, Python"
R000344,"Cloud, Keras, TensorFlow, Computer Vision, MLOps, PyTorch"
R000345,Python
R000346,"Python, Pandas, NLP, Statistics, SQL"
R000347,"PyTorch, Python"
R000348,"User Stories, Agile, Product Roadmap"
R000349,"Power BI, Reporting, Tableau, Data Cleaning"
R000350,"Deep Learning, Statistics, Machine Learning, SQL"
R000351,"Reporting, Tableau"
R000352,"Keras, TensorFlow, Computer Vision, PyTorch"
R000353,"Excel, SQL, Data Cleaning, Power BI, Reporting"
R000354,"Docker, REST APIs, System Design, Java, Agile"
R000355,"NLP, Statistics, Machine Learning, Pandas"
R000356,REST APIs
R000357,"TV, REST APIs, Agile, Spring Boot, Java, System Design, Docker"
R000358,"Agile, Spring Boot, Git, Java"
R000359,"Power BI, Reporting, SQL, Excel"
R000360,"Power BI, Data Cleaning, Reporting, Excel"
R000361,"REST APIs, Spring Boot, Java"
R000362,"Computer Vision, Keras"
R000363,"SQL, Tableau, Data Cleaning, Reporting, Power BI"
R000364,"User Stories, Stakeholder Management"
R000365,"Tableau, Reporting, Data Cleaning, Excel, Power BI"
R000366,"Deep Learning, Machine Learning, Statistics, Python, SQL"
R000367,"SQL, Data Cleaning, Excel, Power BI"
R000368,"Tableau, Excel"
R000369,"Stakeholder Management, Product Roadmap, Scrum, Agile, User Stories"
R000370,"Git, REST APIs, Docker, Spring Boot"
R000371,"Agile, Product Roadmap, User Stories"
R000372,"Power BI, Data Cleaning, Excel, Reporting, SQL, Tableau"
R000373,"Keras, MLOps, Cloud"
R000374,"SQL, Deep Learning, Python, Statistics, NLP"
R000375,"SQL, Reporting, Power BI"
R000376,"Power BI, Data Cleaning, Tableau, SQL, Excel"
R000377,"System Design, REST APIs, Git, Agile"
R000378,"Agile, System Design, Java, Git"
R000379,"Python, Statistics, Machine Learning, Pandas"
R000380,"MLOps, Keras, Python, PyTorch"
R000381,"Git, Java, Spring Boot, Docker"
R000382,"Power BI, Data Cleaning"
R000383,"Pandas, Deep Learning, NLP, Python, Statistics, Machine Learning"
R000384,"PyTorch, MLOps"
R000385,"MLOps, Python, Cloud, Keras, TensorFlow"
R000386,"User Stories, Scrum, Product Roadmap"
R000387,"Deep Learning, Statistics, Machine Learning, SQL, Pandas"
R000388,"Machine Learning, NLP, Pandas, Deep Learning, SQL"
R000389,"Pandas, Deep Learning"
R000390,"Scrum, Product Roadmap, Agile, Stakeholder Management"
R000391,"Deep Learning, SQL, Pandas"
R000392,"SQL, Machine Learning"
R000393,"Tableau, Data Cleaning, Reporting"
R000394,"MLOps, TensorFlow, Computer Vision, Keras, Python"
R000395,"System Design, Docker, Spring Boot"
R000396,"Agile, Scrum, User Stories, Product Roadmap"
R000397,"Excel, Tableau"
R000398,"NLP, SQL, Deep Learning, Statistics, Pandas"
R000399,"Python, Deep Learning, Pandas, Statistics"
R000400,"Java, Docker, Spring Boot, Agile"
R000401,"Excel, Data Cleaning, Power BI, Tableau"
R000402,"Reporting, Excel, Data Cleaning, Tableau"
R000403,"Computer Vision, Python, PyTorch, Keras, Cloud, TensorFlow"
R000404,"Computer Vision, MLOps, Cloud, Python, Keras"
R000405,"Docker, REST APIs, Agile, Spring Boot, Java, System Design"
R000406,"Keras, PyTorch, Computer Vision, Cloud"
R000407,"TensorFlow, Python, Cloud, Computer Vision"
R000408,"Agile, User Stories"
R000409,"Excel, Tableau, Reporting, SQL, Power BI"
R000410,"Cloud, Computer Vision, Python, MLOps, PyTorch, TensorFlow"
R000411,"Deep Learning, Python, NLP"
R000412,"SQL, Statistics, Deep Learning, Machine Learning"
R000413,"SQL, Python, Machine Learning, Statistics, Pandas, NLP"
R000414,"Excel, Tableau"
R000415,"Stakeholder Management, Agile, Scrum, User Stories, Product Roadmap"
R000416,"NLP, Deep Learning, SQL"
R000417,"Docker, System Design, REST APIs, Java, Git"
R000418,"Power BI, Tableau, SQL"
R000419,"Computer Vision, MLOps, TensorFlow, PyTorch, Python"
R000420,"Machine Learning, Pandas, NLP, Python, Statistics"
R000421,"Scrum, User Stories, Agile, Product Roadmap, Stakeholder Management"
R000422,"SQL, Python, Machine Learning, Statistics, NLP"
R000423,"Spring Boot, Agile"
R000424,"Deep Learning, SQL, Statistics, Machine Learning, NLP, Pandas, Python"
R000425,"Power BI, Tableau, SQL, Reporting"
R000426,"NLP, Statistics, Deep Learning, Machine Learning"
R000427,"NLP, Deep Learning, Pandas, Statistics, Machine Learning"
R000428,"Tableau, Data Cleaning, SQL, Excel, Reporting"
R000429,"Java, REST APIs, Agile, Docker, System Design"
R000430,"Agile, Scrum"
R000431,"TensorFlow, PyTorch, Keras, Python, Computer Vision"
R000432,"Reporting, SQL, Excel"
R000433,"Agile, Scrum, Stakeholder Management"
R000434,"Agile, Product Roadmap, User Stories, Scrum"
R000435,"Reporting, Power BI, Tableau, Excel"
R000436,"SQL, Tableau, Excel, Power BI"
R000437,"Data Cleaning, Tableau, SQL, Power BI"
R000438,"Machine Learning, Pandas, Python, Statistics, SQL"
R000439,"Git, Agile"
R000440,"REST APIs, Java"
R000441,"User Stories, Scrum, Stakeholder Management"
R000442,"Deep Learning, Pandas, SQL, Statistics"
R000443,"Product Roadmap, Stakeholder Management, Agile"
R000444,"SQL, NLP, Pandas, Machine Learning, Python, Deep Learning"
R000445,"System Design, Git, REST APIs, Docker, Java, Agile"
R000446,"TensorFlow, Cloud, PyTorch"
R000447,"SQL, Reporting, Excel"
R000448,NLP
R000449,"System Design, REST APIs, Git"
R000450,"Tableau, Power BI, Excel, Reporting"
R000451,"Power BI, Tableau, Excel"
R000452,"User Stories, Product Roadmap, Stakeholder Management"
R000453,"Python, Machine Learning, SQL, Deep Learning"
R000454,"Machine Learning, NLP, Python, SQL, Statistics"
R000455,"NLP, Python, Pandas, SQL"
R000456,"Cloud, Keras"
R000457,"Spring Boot, REST APIs, Java, Agile"
R000458,"User Stories, Agile"
R000459,"Power BI, Excel, Tableau, Data Cleaning, Reporting"
R000460,"SQL, Tableau, Excel, Reporting"
R000461,"Stakeholder Management, Product Roadmap, Agile"
R000462,"Keras, MLOps, TensorFlow, Computer Vision, Python"
R000463,"Reporting, SQL, Power BI, Data Cleaning, Excel"
R000464,"Stakeholder Management, Scrum"
R000465,"Data Cleaning, Reporting, Excel, Tableau, Power BI, SQL"
R000466,Scrum
R000467,"Python, Deep Learning, Pandas, Statistics, SQL"
R000468,"Stakeholder Management, User Stories, Product Roadmap"
R000469,"REST APIs, Git, Agile, Java, System Design"
R000470,"Stakeholder Management, User Stories"
R000471,"Python, PyTorch, MLOps, Cloud, Computer Vision, TensorFlow"
R000472,"Power BI, Reporting, Tableau"
R000473,"TensorFlow, MLOps, Cloud, Python, PyTorch"
R000474,"Docker, Java"
R000475,"Keras, TensorFlow, Cloud"
R000476,"Stakeholder Management, Agile, Scrum, Product Roadmap"
R000477,MLOps
R000478,"Tableau, Power BI, SQL"
R000479,Agile
R000480,"Scrum, Agile, Product Roadmap, Stakeholder Management, User Stories"
R000481,"SQL, Python, Deep Learning, Machine Learning, NLP"
R000482,"MLOps, Keras, Computer Vision, PyTorch, Cloud, Python"
R000483,"Git, Agile, System Design, Docker"
R000484,"PyTorch, TensorFlow, MLOps"
R000485,"SQL, Tableau, Data Cleaning, Power BI"
R000486,"Agile, Stakeholder Management, Scrum, User Stories, Product Roadmap"
R000487,Data Cleaning
R000488,"MLOps, Python, Cloud, TensorFlow"
R000489,"Computer Vision, Python, Cloud, PyTorch, TensorFlow, Keras"
R000490,"Keras, Computer Vision, Python, PyTorch"
R000491,"SQL, Statistics, NLP, Pandas"
R000492,"Statistics, SQL, NLP, Deep Learning, Pandas"
R000493,Data Cleaning
R000494,"Agile, Scrum"
R000495,"Keras, Python, TensorFlow"
R000496,"System Design, Agile, REST APIs"
R000497,"Excel, Power BI, Reporting, Tableau, Data Cleaning"
R000498,"REST APIs, Agile, System Design, Git, Docker, Spring Boot"
R000499,"Agile, Product Roadmap, User Stories, Scrum, Stakeholder Management"
R000500,"Java, Spring Boot, Docker, System Design, REST APIs"
R000501,"Docker, REST APIs, Git, Java, System Design"
R000502,"MLOps, Cloud, PyTorch"
R000503,"Reporting, Data Cleaning"
R000504,"User Stories, Agile, Product Roadmap"
R000505,"SQL, Deep Learning"
R000506,"Power BI, Data Cleaning"
R000507,"SQL, Pandas, Python, Machine Learning"
R000508,"Cloud, PyTorch"
R000509,"Machine Learning, Pandas, Python, NLP, Statistics"
R000510,"Git, System Design"
R000511,"TensorFlow, Keras, Cloud, Python, MLOps, PyTorch"
R000512,"PyTorch, Keras, Python"
R000513,"Deep Learning, Python, SQL, Pandas"
R000514,"Power BI, Reporting, Data Cleaning, SQL"
R000515,"Statistics, Python, Machine Learning, Pandas, NLP"
R000516,Scrum
R000517,"SQL, Statistics, NLP, Pandas, Deep Learning"
R000518,"TensorFlow, Keras, Computer Vision, MLOps, Cloud"
R000519,"Cloud, MLOps, Computer Vision, PyTorch, TensorFlow"
R000520,"Python, Deep Learning, NLP, SQL"
R000521,"Machine Learning, NLP, Deep Learning"
R000522,"Python, MLOps, PyTorch"
R000523,"Spring Boot, Agile, Java, Docker, REST APIs, Git"
R000524,"System Design, Agile, Java"
R000525,"PyTorch, Computer Vision, Keras, Cloud"
R000526,"Machine Learning, SQL, Pandas"
R000527,"Cloud, MLOps, PyTorch, Computer Vision, Python, TensorFlow"
R000528,"Scrum, Stakeholder Management"
R000529,"SQL, Statistics, Machine Learning, NLP, Deep Learning"
R000530,"Python, SQL, Machine Learning, Pandas, NLP"
R000531,"Statistics, Deep Learning, SQL, Machine Learning, Python"
R000532,"Java, Agile, Git"
R000533,"Excel, SQL, Data Cleaning, Power BI, Reporting"
R000534,"PyTorch, MLOps, Keras, Python, Cloud, Computer Vision"
R000535,"System Design, Java, Git, Agile"
R000536,"SQL, Excel, Tableau, Data Cleaning, Reporting, Power BI"
R000537,"Excel, Reporting, Data Cleaning, Power BI"
R000538,"Python, PyTorch, TensorFlow, Keras, Computer Vision, MLOps"
R000539,"Reporting, Tableau, SQL"
R000540,"Statistics, SQL, Deep Learning, Python"
R000541,"Cloud, PyTorch, MLOps, Keras"
