JobID,Role,Cleaned_Skills
J000056,Data Analyst,"Power BI, Excel, Data Cleaning"
J000057,Data Scientist,"Deep Learning, Python, Pandas"
J000058,Data Scientist,"SQL, Python, Deep Learning, Machine Learning"
J000059,Software Engineer,"Docker, Spring Boot, Java, Git"
J000060,ML Engineer,"Keras, Computer Vision, TensorFlow, PyTorch, Python, Cloud"
J000061,Data Analyst,"Power BI, Reporting, Data Cleaning, Tableau"
J000062,Software Engineer,"Agile, Java, Docker"
J000063,Data Scientist,"Pandas, Statistics, Python, NLP, SQL, Machine Learning"
J000064,ML Engineer,"Computer Vision, MLOps, Python, TensorFlow, Keras, Cloud"
J000065,ML Engineer,"Python, Keras, PyTorch"
J000066,Data Analyst,"SQL, Tableau, Data Cleaning"
J000067,Data Scientist,"Pandas, Machine Learning, Deep Learning, Statistics, SQL, NLP"
J000068,Software Engineer,"System Design, Spring Boot, REST APIs, Docker, Agile, Git, Java"
J000069,Data Scientist,"Machine Learning, SQL, NLP, Statistics"
J000070,Software Engineer,"Spring Boot, System Design, Java, Agile"
J000071,Software Engineer,"Agile, Docker, Git"
J000072,Product Manager,"Product Roadmap, User Stories, Scrum, Stakeholder Management, Agile"
J000073,ML Engineer,"Cloud, Python, TensorFlow, Computer Vision, PyTorch, Keras, MLOps"
J000074,Product Manager,"Agile, User Stories, Scrum, Product Roadmap"
J000075,Data Analyst,"Data Cleaning, Tableau, Power BI, Reporting, Excel, SQL"
J000076,ML Engineer,"TensorFlow, Keras, MLOps, Python, Cloud"
J000077,Data Analyst,"SQL, Reporting, Excel, Tableau"
J000078,Product Manager,"Agile, Product Roadmap, Stakeholder Management"
J000079,Data Analyst,"Power BI, Reporting, SQL, Excel, Tableau, Data Cleaning"
J000080,Software Engineer,"Git, System Design, Agile, Docker"
J000081,ML Engineer,"TensorFlow, Computer Vision, Python, Keras, Cloud, PyTorch"
J000082,Product Manager,"Stakeholder Management, Scrum, Agile"
J000083,Product Manager,"User Stories, Agile, Scrum"
J000084,Product Manager,"Scrum, Agile, Stakeholder Management, User Stories, Product Roadmap"
J000085,Software Engineer,"Agile, Git, REST APIs"
J000086,Data Scientist,"NLP, Statistics, SQL, Python, Machine Learning"
J000087,Data Scientist,"Statistics, NLP, SQL, Python, Pandas, Deep Learning"
J000088,Data Analyst,"Excel, SQL, Power BI, Tableau, Data Cleaning"
J000089,ML Engineer,"TensorFlow, Cloud, Keras, Computer Vision, PyTorch, Python"
J000090,Data Analyst,"SQL, Tableau, Power BI"
J000091,Software Engineer,"Docker, System Design, REST APIs, Git, Agile, Spring Boot, Java"
J000092,Software Engineer,"Spring Boot, Java, Agile, REST APIs"
J000093,Data Scientist,"SQL, Statistics, Python, Deep Learning, Pandas, NLP, Machine Learning"
J000094,Product Manager,"User Stories, Agile, Product Roadmap"
J000095,Data Analyst,"Power BI, Data Cleaning, Excel, Reporting, SQL, Tableau"
J000096,Data Scientist,"Statistics, Python, Pandas, SQL"
J000097,Software Engineer,"System Design, Java, Agile, Spring Boot, Docker"
J000098,Data Scientist,"Pandas, SQL, Machine Learning, NLP"
J000099,Data Scientist,"Deep Learning, Statistics, Python, SQL"
J000100,Data Scientist,"SQL, Machine Learning, Deep Learning, Python, Pandas, Statistics"
J000101,ML Engineer,"Computer Vision, MLOps, Python, Cloud, TensorFlow, PyTorch, Keras"
J000102,Software Engineer,"System Design, Docker, Spring Boot, Git, Java, REST APIs, Agile"
J000103,Software Engineer,"Java, REST APIs, Spring Boot, Agile, Docker"
J000104,ML Engineer,"Python, TensorFlow, Cloud"
J000105,ML Engineer,"MLOps, Computer Vision, TensorFlow, Cloud"
J000106,ML Engineer,"Cloud, Keras, PyTorch, Python"
J000107,Software Engineer,"Java, REST APIs, Spring Boot, Git, System Design"
J000108,ML Engineer,"Cloud, PyTorch, Python"
J000109,Data Analyst,"Data Cleaning, Reporting, Tableau, SQL, Excel"
J000110,Software Engineer,"Spring Boot, System Design, Java, Agile"
J000111,ML Engineer,"Cloud, TensorFlow, Keras, MLOps, Python"
J000112,ML Engineer,"PyTorch, Keras, Cloud, TensorFlow"
J000113,Software Engineer,"Java, Agile, REST APIs, System Design, Git, Docker"
J000114,ML Engineer,"Python, Cloud, PyTorch, Computer Vision"
J000115,Data Scientist,"Machine Learning, Statistics, NLP, Deep Learning, Python, SQL"
J000116,ML Engineer,"Python, Keras, PyTorch, MLOps, TensorFlow, Computer Vision, Cloud"
J000117,Software Engineer,"System Design, Agile, Spring Boot, Docker"
J000118,Product Manager,"Stakeholder Management, Agile, Product Roadmap"
J000119,Data Scientist,"Deep Learning, Machine Learning, Statistics"
J000120,Software Engineer,"Docker, System Design, Agile"
J000121,ML Engineer,"PyTorch, Cloud, Keras, Computer Vision"
J000122,Product Manager,"User Stories, Scrum, Agile, Product Roadmap"
J000123,Data Analyst,"SQL, Reporting, Tableau, Data Cleaning"
J000124,Product Manager,"User Stories, Agile, Product Roadmap"
J000125,Software Engineer,"Docker, System Design, Java, Spring Boot, Agile"
J000126,Data Analyst,"SQL, Power BI, Excel, Tableau, Reporting, Data Cleaning"
J000127,Data Scientist,"Deep Learning, SQL, Pandas, Statistics"
J000128,Data Analyst,"SQL, Reporting, Excel, Power BI, Tableau, Data Cleaning"
J000129,ML Engineer,"MLOps, PyTorch, Python, Keras, TensorFlow, Cloud"
J000130,ML Engineer,"MLOps, Cloud, Keras, Python"
J000131,ML Engineer,"MLOps, PyTorch, Cloud, Computer Vision, Keras, Python, TensorFlow"
J000132,Data Scientist,"Machine Learning, Pandas, Deep Learning, Python"
J000133,ML Engineer,"PyTorch, Computer Vision, TensorFlow, MLOps, Cloud"
J000134,Data Analyst,"Tableau, Reporting, Power BI, SQL, Data Cleaning, Excel"
J000135,Product Manager,"User Stories, Agile, Product Roadmap"
J000136,Product Manager,"Product Roadmap, User Stories, Scrum"
J000137,Data Analyst,"SQL, Reporting, Power BI, Data Cleaning"
J000138,Data Scientist,"Pandas, Statistics, NLP, Python, Machine Learning, SQL"
J000139,Data Analyst,"Data Cleaning, Power BI, SQL, Tableau, Excel"
J000140,Software Engineer,"Java, Git, System Design, Spring Boot, Docker, Agile"
J000141,Product Manager,"Product Roadmap, Agile, Scrum, User Stories"
J000142,Product Manager,"Scrum, Product Roadmap, User Stories, Stakeholder Management"
J000143,Data Scientist,"SQL, NLP, Pandas"
J000144,Product Manager,"Agile, Stakeholder Management, Product Roadmap, Scrum, User Stories"
J000145,ML Engineer,"TensorFlow, MLOps, Python, Computer Vision"
J000146,Data Analyst,"Tableau, Power BI, Excel, SQL, Reporting, Data Cleaning"
J000147,Product Manager,"User Stories, Stakeholder Management, Scrum"
J000148,Data Analyst,"Data Cleaning, Reporting, Power BI, Excel, Tableau"
J000149,Data Scientist,"NLP, Deep Learning, Machine Learning, SQL"
J000150,ML Engineer,"Cloud, Computer Vision, TensorFlow"
J000151,Data Analyst,"Power BI, Data Cleaning, Excel, Tableau"
J000152,Data Scientist,"Python, NLP, Deep Learning, SQL"
J000153,Data Analyst,"Excel, SQL, Reporting, Power BI, Tableau"
J000154,Software Engineer,"Agile, Docker, System Design, Spring Boot"
J000155,Data Analyst,"Tableau, SQL, Data Cleaning, Excel, Reporting, Power BI"
J000156,Data Scientist,"Machine Learning, Statistics, Python, Pandas"
J000157,Data Scientist,"Deep Learning, Python, Machine Learning, SQL, Statistics, NLP, Pandas"
J000158,ML Engineer,"PyTorch, MLOps, Computer Vision"
J000159,Data Scientist,"Statistics, Machine Learning, NLP"
J000160,Data Analyst,"Reporting, Excel, Power BI"
J000161,Data Scientist,"SQL, Deep Learning, Pandas, Python, NLP"
J000162,ML Engineer,"Keras, Computer Vision, PyTorch, MLOps, Python, TensorFlow, Cloud"
J000163,Data Scientist,"SQL, Statistics, Python, NLP, Machine Learning, Deep Learning"
J000164,Software Engineer,"Agile, REST APIs, Git, Spring Boot, Java, System Design"
J000165,Product Manager,"Product Roadmap, Agile, Stakeholder Management"
J000166,Data Scientist,"Statistics, Deep Learning, Python, SQL, NLP, Pandas, Machine Learning"
J000167,Product Manager,"Agile, Scrum, Stakeholder Management"
J000168,Data Analyst,"Reporting, Power BI, SQL"
J000169,Data Scientist,"Pandas, Machine Learning, SQL"
J000170,ML Engineer,"MLOps, TensorFlow, PyTorch, Computer Vision, Keras"
J000171,Product Manager,"User Stories, Agile, Product Roadmap, Stakeholder Management"
J000172,ML Engineer,"Computer Vision, PyTorch, MLOps, Cloud, Keras"
J000173,Software Engineer,"Git, Spring Boot, System Design, Docker"
J000174,Data Analyst,"Data Cleaning, Tableau, Reporting, Excel, Power BI"
J000175,Product Manager,"Scrum, Stakeholder Management, Agile"
J000176,ML Engineer,"Cloud, Keras, MLOps, Python, TensorFlow"
J000177,Data Analyst,"Data Cleaning, Excel, Tableau, Power BI"
J000178,ML Engineer,"Python, TensorFlow, Computer Vision, Cloud, PyTorch, Keras, MLOps"
J000179,Product Manager,"Agile, Product Roadmap, User Stories"
J000180,Data Scientist,"Machine Learning, SQL, Statistics, Python, NLP, Deep Learning, Pandas"
J000181,Data Scientist,"Statistics, Pandas, SQL"
J000182,Software Engineer,"REST APIs, System Design, Agile, Git"
J000183,Software Engineer,"Java, Git, Docker, Agile, REST APIs, System Design"
J000184,Software Engineer,"Agile, Docker, Git"
J000185,Data Scientist,"Machine Learning, Pandas, NLP, Deep Learning, SQL"
J000186,Data Analyst,"Power BI, Reporting, Excel, Tableau"
J000187,Product Manager,"Scrum, Stakeholder Management, User Stories"
J000188,Data Analyst,"SQL, Power BI, Data Cleaning, Excel, Tableau, Reporting"
J000189,Product Manager,"User Stories, Product Roadmap, Agile"
J000190,Software Engineer,"Java, Spring Boot, Git"
J000191,Software Engineer,"System Design, Spring Boot, Agile, Git, REST APIs, Java, Docker"
J000192,Software Engineer,"Agile, Java, Git"
J000193,Data Analyst,"Excel, Power BI, SQL"
J000194,Product Manager,"User Stories, Scrum, Product Roadmap"
J000195,Data Analyst,"Excel, SQL, Reporting"
J000196,Data Scientist,"NLP, Machine Learning, SQL, Deep Learning"
J000197,Software Engineer,"Docker, System Design, Spring Boot, Java, Agile"
J000198,Data Analyst,"Power BI, Tableau, Excel"
J000199,Data Analyst,"Power BI, SQL, Reporting"
J000200,Data Analyst,"Excel, Power BI, Reporting, Tableau"
J000201,Data Analyst,"Reporting, Power BI, Tableau, Excel, SQL, Data Cleaning"
J000202,Product Manager,"User Stories, Agile, Product Roadmap, Stakeholder Management, Scrum"
J000203,Product Manager,"Stakeholder Management, Product Roadmap, User Stories, Scrum, Agile"
J000204,Data Analyst,"Power BI, Excel, Data Cleaning, Reporting, Tableau"
J000205,Software Engineer,"System Design, Java, Docker, REST APIs, Spring Boot"
J000206,Data Analyst,"SQL, Data Cleaning, Reporting, Tableau, Power BI"
J000207,ML Engineer,"Keras, PyTorch, MLOps"
J000208,Product Manager,"Stakeholder Management, Product Roadmap, Agile, User Stories, Scrum"
J000209,Data Scientist,"Machine Learning, Statistics, Pandas, SQL, NLP, Python, Deep Learning"
J000210,Data Scientist,"Statistics, Deep Learning, SQL, Pandas, NLP, Machine Learning"
J000211,Data Analyst,"Excel, Tableau, Data Cleaning"
J000212,Data Scientist,"Statistics, Pandas, SQL, Python, Machine Learning, NLP, Deep Learning"
J000213,Product Manager,"Agile, Stakeholder Management, Scrum"
J000214,ML Engineer,"MLOps, Python, TensorFlow"
J000215,ML Engineer,"MLOps, Computer Vision, Keras, TensorFlow"
J000216,Product Manager,"Product Roadmap, User Stories, Agile, Scrum"
J000217,Software Engineer,"Spring Boot, System Design, Agile, Java, Docker"
J000218,Data Scientist,"NLP, Machine Learning, SQL, Python, Statistics, Deep Learning"
J000219,Software Engineer,"Agile, Java, System Design, Git, Spring Boot"
J000220,Data Scientist,"Deep Learning, Python, Machine Learning, NLP"
J000221,Software Engineer,"Agile, Docker, System Design, Java, Spring Boot, REST APIs"
J000222,Data Scientist,"Python, Statistics, NLP, Deep Learning, SQL"
J000223,Data Analyst,"Power BI, SQL, Reporting, Excel, Tableau, Data Cleaning"
J000224,Software Engineer,"Spring Boot, REST APIs, Docker, Java, Agile"
J000225,Product Manager,"User Stories, Scrum, Stakeholder Management"
J000226,Software Engineer,"Agile, REST APIs, Git, Docker"
J000227,Data Scientist,"NLP, Pandas, SQL, Deep Learning"
J000228,ML Engineer,"Python, Keras, TensorFlow, Computer Vision"
J000229,Software Engineer,"Git, REST APIs, Java, Docker, Agile"
J000230,Data Scientist,"Pandas, NLP, Python"
J000231,Data Scientist,"SQL, NLP, Pandas, Python, Deep Learning, Statistics, Machine Learning"
J000232,ML Engineer,"Keras, TensorFlow, Cloud"
J000233,ML Engineer,"Keras, PyTorch, TensorFlow"
J000234,Data Scientist,"Statistics, NLP, Deep Learning, Python, Machine Learning, Pandas, SQL"
J000235,Data Scientist,"NLP, SQL, Statistics"
J000236,ML Engineer,"TensorFlow, MLOps, PyTorch, Keras, Cloud, Computer Vision, Python"
J000237,Data Analyst,"Tableau, SQL, Excel, Data Cleaning"
J000238,ML Engineer,"Computer Vision, TensorFlow, Python, Cloud, MLOps, Keras, PyTorch"
J000239,ML Engineer,"PyTorch, Keras, Cloud, Computer Vision, Python, TensorFlow"
J000240,Software Engineer,"REST APIs, Docker, Git, Spring Boot, System Design, Agile, Java"
J000241,ML Engineer,"TensorFlow, Keras, Python, MLOps"
J000242,Product Manager,"User Stories, Scrum, Product Roadmap, Stakeholder Management"
J000243,ML Engineer,"TensorFlow, Cloud, Computer Vision, PyTorch, Python, MLOps, Keras"
J000244,Product Manager,"Scrum, Stakeholder Management, Product Roadmap, Agile, User Stories"
J000245,Software Engineer,"Agile, System Design, Spring Boot, Git, REST APIs"
J000246,Product Manager,"Product Roadmap, Scrum, Agile"
J000247,ML Engineer,"TensorFlow, Keras, Python, MLOps, PyTorch, Computer Vision, Cloud"
J000248,Software Engineer,"Spring Boot, Agile, System Design, Docker, REST APIs"
J000249,Product Manager,"Agile, Stakeholder Management, Product Roadmap"
J000250,Data Analyst,"Tableau, Power BI, Excel, Reporting"
J000251,Product Manager,"Scrum, User Stories, Agile, Product Roadmap, Stakeholder Management"
J000252,Data Scientist,"Python, Deep Learning, Statistics, SQL"
J000253,Data Analyst,"Excel, Data Cleaning, Tableau, Reporting, SQL"
J000254,Software Engineer,"Agile, Spring Boot, Git, Java"
J000255,Data Analyst,"Excel, SQL, Reporting, Tableau, Data Cleaning"
J000256,Product Manager,"Stakeholder Management, Product Roadmap, Scrum, Agile, User Stories"
J000257,ML Engineer,"TensorFlow, Computer Vision, MLOps, Python, Keras, Cloud"
J000258,Data Analyst,"Data Cleaning, Power BI, Reporting, Excel, Tableau, SQL"
J000259,Data Analyst,"Data Cleaning, Excel, Tableau, Reporting"
J000260,Data Scientist,"Statistics, Deep Learning, Python, Pandas"
J000261,Data Scientist,"Deep Learning, Python, SQL, NLP, Machine Learning, Pandas, Statistics"
J000262,Data Scientist,"SQL, Python, Deep Learning, Machine Learning, Statistics, NLP, Pandas"
J000263,Data Scientist,"Machine Learning, Pandas, Deep Learning"
J000264,Data Analyst,"Reporting, Power BI, Data Cleaning, SQL"
J000265,Software Engineer,"Agile, Java, Spring Boot, Docker, Git"
J000266,Data Analyst,"Data Cleaning, Excel, Reporting, SQL, Tableau"
J000267,Product Manager,"User Stories, Scrum, Stakeholder Management, Product Roadmap, Agile"
J000268,Product Manager,"Stakeholder Management, Agile, User Stories, Scrum, Product Roadmap"
J000269,Product Manager,"Agile, Scrum, Stakeholder Management, Product Roadmap, User Stories"
J000270,Data Scientist,"Statistics, Deep Learning, NLP, Machine Learning"
J000271,ML Engineer,"Cloud, Computer Vision, MLOps, Keras, Python"
J000272,Software Engineer,"Java, System Design, Agile, Spring Boot, Git, Docker"
J000273,ML Engineer,"Python, Cloud, MLOps, Computer Vision"
J000274,ML Engineer,"MLOps, PyTorch, Computer Vision, TensorFlow"
J000275,Software Engineer,"Java, REST APIs, Agile"
J000276,ML Engineer,"PyTorch, TensorFlow, MLOps, Computer Vision, Keras, Python"
J000277,Data Scientist,"Statistics, SQL, NLP, Python, Machine Learning, Deep Learning, Pandas"
J000278,Data Analyst,"Data Cleaning, SQL, Power BI"
J000279,ML Engineer,"Computer Vision, MLOps, Cloud, TensorFlow"
J000280,Product Manager,"User Stories, Scrum, Stakeholder Management, Product Roadmap, Agile"
J000281,Data Analyst,"Power BI, SQL, Data Cleaning"
J000282,ML Engineer,"MLOps, Python, TensorFlow, Computer Vision, PyTorch, Cloud, Keras"
J000283,Software Engineer,"Java, Spring Boot, Git, REST APIs, Agile, Docker"
J000284,Product Manager,"Scrum, Agile, Stakeholder Management, User Stories"
J000285,Product Manager,"Scrum, Agile, Stakeholder Management"
J000286,Data Analyst,"Power BI, Reporting, Excel, SQL, Data Cleaning, Tableau"
J000287,Data Scientist,"Python, SQL, NLP, Deep Learning"
J000288,Data Scientist,"Machine Learning, Deep Learning, NLP, Pandas, Python"
J000289,ML Engineer,"TensorFlow, Python, MLOps, Keras"
J000290,ML Engineer,"MLOps, TensorFlow, Cloud"
J000291,ML Engineer,"Keras, Python, PyTorch, TensorFlow"
J000292,Product Manager,"Scrum, Stakeholder Management, Agile, User Stories, Product Roadmap"
J000293,Data Scientist,"Machine Learning, Deep Learning, Python, NLP"
J000294,Product Manager,"Stakeholder Management, User Stories, Scrum, Agile, Product Roadmap"
J000295,Data Analyst,"Power BI, Tableau, SQL, Excel, Reporting, Data Cleaning"
J000296,Data Analyst,"Reporting, Tableau, SQL, Data Cleaning"
J000297,ML Engineer,"MLOps, TensorFlow, Cloud, Python, Keras, Computer Vision"
J000298,ML Engineer,"Cloud, TensorFlow, Computer Vision, PyTorch, Keras, MLOps, Python"
J000299,Data Analyst,"Tableau, Power BI, Reporting, Excel, Data Cleaning"
J000300,Software Engineer,"Spring Boot, REST APIs, Git, Docker, System Design"
J000301,Software Engineer,"Docker, Agile, REST APIs, Spring Boot"
J000302,Software Engineer,"Agile, REST APIs, Git, System Design, Java, Docker"
J000303,Data Scientist,"Python, SQL, Statistics, Pandas, Machine Learning, Deep Learning"
J000304,Product Manager,"User Stories, Scrum, Product Roadmap, Stakeholder Management"
J000305,Software Engineer,"System Design, Git, Java, Spring Boot, Agile"
J000306,ML Engineer,"MLOps, TensorFlow, Cloud, Keras"
J000307,Software Engineer,"System Design, Agile, Docker"
J000308,Data Analyst,"Excel, Power BI, Tableau, SQL, Reporting, Data Cleaning"
J000309,ML Engineer,"PyTorch, Python, Computer Vision"
J000310,Data Analyst,"Data Cleaning, Reporting, Tableau, Power BI, Excel"
J000311,Data Scientist,"NLP, Pandas, Python, Deep Learning, SQL, Statistics"
J000312,ML Engineer,"Keras, MLOps, PyTorch"
J000313,Product Manager,"Scrum, Stakeholder Management, User Stories, Product Roadmap"
J000314,Software Engineer,"Docker, REST APIs, Git, Spring Boot"
J000315,Data Scientist,"NLP, SQL, Python, Pandas"
J000316,Data Scientist,"SQL, NLP, Pandas, Deep Learning, Python"
J000317,Product Manager,"Scrum, Stakeholder Management, Product Roadmap, Agile"
J000318,ML Engineer,"Python, PyTorch, Keras, MLOps, TensorFlow"
J000319,ML Engineer,"Cloud, MLOps, PyTorch, Python, TensorFlow, Computer Vision"
J000320,Product Manager,"Product Roadmap, User Stories, Scrum"
J000321,Data Scientist,"Deep Learning, SQL, Python, Statistics, Machine Learning, Pandas"
J000322,Software Engineer,"REST APIs, Git, System Design, Docker, Java, Spring Boot"
J000323,Data Scientist,"Machine Learning, Python, Pandas, SQL, NLP, Statistics"
J000324,Data Analyst,"Reporting, Data Cleaning, Excel, SQL, Tableau, Power BI"
J000325,Data Analyst,"Excel, SQL, Reporting, Data Cleaning"
J000326,Product Manager,"User Stories, Product Roadmap, Stakeholder Management, Scrum"
J000327,Data Scientist,"Statistics, Deep Learning, Pandas, SQL, NLP, Python, Machine Learning"
J000328,Data Scientist,"Machine Learning, Deep Learning, Pandas, Statistics, NLP, SQL, Python"
J000329,Software Engineer,"Docker, REST APIs, Agile"
J000330,ML Engineer,"Cloud, MLOps, TensorFlow, PyTorch, Keras, Python"
J000331,Product Manager,"Agile, Scrum, User Stories"
J000332,Data Analyst,"Data Cleaning, Reporting, Tableau, Power BI, Excel"
J000333,Software Engineer,"Spring Boot, REST APIs, Git"
J000334,Data Scientist,"Python, NLP, Pandas"
J000335,Data Analyst,"Tableau, SQL, Excel, Reporting, Power BI"
J000336,Product Manager,"Agile, Product Roadmap, Stakeholder Management"
J000337,Data Analyst,"Power BI, Tableau, Reporting, Data Cleaning"
J000338,ML Engineer,"Keras, MLOps, Computer Vision"
J000339,Data Scientist,"Machine Learning, Statistics, Python, NLP"
J000340,Data Scientist,"SQL, Deep Learning, Machine Learning, Python, Statistics"
J000341,Data Scientist,"NLP, Deep Learning, Statistics, Machine Learning"
J000342,Software Engineer,"REST APIs, Spring Boot, Docker, Git, Java, System Design"
J000343,ML Engineer,"Cloud, Python, MLOps, Keras"
J000344,ML Engineer,"Cloud, PyTorch, Python, Computer Vision, MLOps"
J000345,Data Scientist,"Deep Learning, Statistics, Pandas"
J000346,Data Scientist,"SQL, NLP, Statistics, Pandas, Python"
J000347,ML Engineer,"PyTorch, TensorFlow, Computer Vision, Keras, Python, Cloud"
J000348,Product Manager,"Agile, Product Roadmap, Scrum"
J000349,Data Analyst,"Excel, Data Cleaning, Power BI, SQL, Reporting"
J000350,Data Scientist,"SQL, NLP, Deep Learning, Statistics, Machine Learning, Python, Pandas"
J000351,Data Analyst,"Excel, Power BI, Tableau"
J000352,ML Engineer,"Computer Vision, Keras, Cloud, PyTorch, Python, TensorFlow"
J000353,Data Analyst,"Power BI, Data Cleaning, Reporting, Tableau, Excel"
J000354,Software Engineer,"Agile, System Design, REST APIs"
J000355,Data Scientist,"Pandas, Deep Learning, NLP, SQL, Statistics, Python, Machine Learning"
J000356,Software Engineer,"Git, Spring Boot, Java, Agile, REST APIs, Docker"
J000357,Software Engineer,"Spring Boot, Java, REST APIs, Git, Docker, System Design, Agile"
J000358,Software Engineer,"Agile, Java, Git, Docker, REST APIs, System Design"
J000359,Data Analyst,"Data Cleaning, SQL, Power BI, Tableau, Excel"
J000360,Data Analyst,"Data Cleaning, Reporting, Power BI, Tableau"
J000361,Software Engineer,"Docker, REST APIs, Agile, Spring Boot, System Design, Git"
J000362,ML Engineer,"Keras, Computer Vision, PyTorch, Python, Cloud, TensorFlow, MLOps"
J000363,Data Analyst,"Tableau, Data Cleaning, Reporting, Power BI, Excel, SQL"
J000364,Product Manager,"Product Roadmap, Scrum, Stakeholder Management, Agile, User Stories"
J000365,Data Analyst,"Excel, Tableau, Power BI, Data Cleaning, Reporting"
J000366,Data Scientist,"Python, Statistics, Machine Learning, SQL, NLP, Pandas, Deep Learning"
J000367,Data Analyst,"Reporting, Data Cleaning, SQL, Tableau, Power BI"
J000368,Data Analyst,"Data Cleaning, Reporting, Excel, Tableau, Power BI"
J000369,Product Manager,"Stakeholder Management, Scrum, Agile, User Stories"
J000370,Software Engineer,"Docker, Agile, Spring Boot, Java, REST APIs, Git"
J000371,Product Manager,"Product Roadmap, Scrum, Stakeholder Management"
J000372,Data Analyst,"Power BI, SQL, Tableau, Reporting"
J000373,ML Engineer,"MLOps, TensorFlow, PyTorch, Cloud"
J000374,Data Scientist,"SQL, Statistics, NLP"
J000375,Data Analyst,"Tableau, Data Cleaning, Power BI, Reporting"
J000376,Data Analyst,"Excel, Power BI, SQL, Data Cleaning, Tableau, Reporting"
J000377,Software Engineer,"Agile, Spring Boot, REST APIs, Docker"
