ResumeID,Rank,JobID,Score,Role
R000033,1,J000002,5,"Data Scientist"
R000033,2,J000020,5,"Data Scientist"
R000033,3,J000032,5,"Data Scientist"
R000034,1,J000005,2,"Software Engineer"
R000034,2,J000007,2,"Software Engineer"
R000034,3,J000034,2,"Software Engineer"
R000035,1,J000015,5,"ML Engineer"
R000035,2,J000048,5,"ML Engineer"
R000035,3,J000060,5,"ML Engineer"
R000036,1,J000002,3,"Data Scientist"
R000036,2,J000020,3,"Data Scientist"
R000036,3,J000022,3,"Data Scientist"
R000037,1,J000002,5,"Data Scientist"
R000037,2,J000020,5,"Data Scientist"
R000037,3,J000032,5,"Data Scientist"
R000038,1,J000007,4,"Software Engineer"
R000038,2,J000068,4,"Software Engineer"
R000038,3,J000070,4,"Software Engineer"
R000039,1,J000019,4,"Product Manager"
R000039,2,J000023,4,"Product Manager"
R000039,3,J000028,4,"Product Manager"
R000040,1,J000003,3,"Software Engineer"
R000040,2,J000007,3,"Software Engineer"
R000040,3,J000068,3,"Software Engineer"
R000041,1,J000019,3,"Product Manager"
R000041,2,J000023,3,"Product Manager"
R000041,3,J000027,3,"Product Manager"
R000042,1,J000002,4,"Data Scientist"
R000042,2,J000020,4,"Data Scientist"
R000042,3,J000032,4,"Data Scientist"
R000043,1,J000001,5,"Data Analyst"
R000043,2,J000006,5,"Data Analyst"
R000043,3,J000011,5,"Data Analyst"
R000044,1,J000002,4,"Data Scientist"
R000044,2,J000020,4,"Data Scientist"
R000044,3,J000022,4,"Data Scientist"
R000045,1,J000007,6,"Software Engineer"
R000045,2,J000068,6,"Software Engineer"
R000045,3,J000091,6,"Software Engineer"
R000046,1,J000001,4,"Data Analyst"
R000046,2,J000006,4,"Data Analyst"
R000046,3,J000011,4,"Data Analyst"
R000047,1,J000004,1,"ML Engineer"
R000047,2,J000014,1,"ML Engineer"
R000047,3,J000015,1,"ML Engineer"
R000048,1,J000015,5,"ML Engineer"
R000048,2,J000047,5,"ML Engineer"
R000048,3,J000048,5,"ML Engineer"
R000049,1,J000002,4,"Data Scientist"
R000049,2,J000020,4,"Data Scientist"
R000049,3,J000032,4,"Data Scientist"
R000050,1,J000002,5,"Data Scientist"
R000050,2,J000020,5,"Data Scientist"
R000050,3,J000032,5,"Data Scientist"
R000051,1,J000005,6,"Software Engineer"
R000051,2,J000007,6,"Software Engineer"
R000051,3,J000068,6,"Software Engineer"
R000052,1,J000019,2,"Product Manager"
R000052,2,J000023,2,"Product Manager"
R000052,3,J000027,2,"Product Manager"
R000053,1,J000019,4,"Product Manager"
R000053,2,J000023,4,"Product Manager"
R000053,3,J000028,4,"Product Manager"
R000054,1,J000019,4,"Product Manager"
R000054,2,J000023,4,"Product Manager"
R000054,3,J000027,4,"Product Manager"
R000055,1,J000002,3,"Data Scientist"
R000055,2,J000020,3,"Data Scientist"
R000055,3,J000032,3,"Data Scientist"
R000056,1,J000001,4,"Data Analyst"
R000056,2,J000006,4,"Data Analyst"
R000056,3,J000009,4,"Data Analyst"
R000057,1,J000002,3,"Data Scientist"
R000057,2,J000020,3,"Data Scientist"
R000057,3,J000032,3,"Data Scientist"
R000058,1,J000002,7,"Data Scientist"
R000058,2,J000020,7,"Data Scientist"
R000058,3,J000032,7,"Data Scientist"
R000059,1,J000005,4,"Software Engineer"
R000059,2,J000007,4,"Software Engineer"
R000059,3,J000068,4,"Software Engineer"
R000060,1,J000015,6,"ML Engineer"
R000060,2,J000048,6,"ML Engineer"
R000060,3,J000060,6,"ML Engineer"
R000061,1,J000001,5,"Data Analyst"
R000061,2,J000006,5,"Data Analyst"
R000061,3,J000011,5,"Data Analyst"
R000062,1,J000005,4,"Software Engineer"
R000062,2,J000007,4,"Software Engineer"
R000062,3,J000068,4,"Software Engineer"
R000063,1,J000002,4,"Data Scientist"
R000063,2,J000020,4,"Data Scientist"
R000063,3,J000032,4,"Data Scientist"
R000064,1,J000015,5,"ML Engineer"
R000064,2,J000048,5,"ML Engineer"
R000064,3,J000064,5,"ML Engineer"
R000065,1,J000015,4,"ML Engineer"
R000065,2,J000048,4,"ML Engineer"
R000065,3,J000060,4,"ML Engineer"
R000066,1,J000001,5,"Data Analyst"
R000066,2,J000006,5,"Data Analyst"
R000066,3,J000011,5,"Data Analyst"
R000067,1,J000002,3,"Data Scientist"
R000067,2,J000020,3,"Data Scientist"
R000067,3,J000022,3,"Data Scientist"
R000068,1,J000007,5,"Software Engineer"
R000068,2,J000068,5,"Software Engineer"
R000068,3,J000091,5,"Software Engineer"
R000069,1,J000002,5,"Data Scientist"
R000069,2,J000020,5,"Data Scientist"
R000069,3,J000032,5,"Data Scientist"
R000070,1,J000007,5,"Software Engineer"
R000070,2,J000068,5,"Software Engineer"
R000070,3,J000091,5,"Software Engineer"
R000071,1,J000003,2,"Software Engineer"
R000071,2,J000007,2,"Software Engineer"
R000071,3,J000040,2,"Software Engineer"
R000072,1,J000019,5,"Product Manager"
R000072,2,J000023,5,"Product Manager"
R000072,3,J000028,5,"Product Manager"
R000073,1,J000015,4,"ML Engineer"
R000073,2,J000048,4,"ML Engineer"
R000073,3,J000064,4,"ML Engineer"
R000074,1,J000019,3,"Product Manager"
R000074,2,J000023,3,"Product Manager"
R000074,3,J000028,3,"Product Manager"
R000075,1,J000001,2,"Data Analyst"
R000075,2,J000006,2,"Data Analyst"
R000075,3,J000011,2,"Data Analyst"
R000076,1,J000015,3,"ML Engineer"
R000076,2,J000047,3,"ML Engineer"
R000076,3,J000048,3,"ML Engineer"
R000077,1,J000001,4,"Data Analyst"
R000077,2,J000006,4,"Data Analyst"
R000077,3,J000011,4,"Data Analyst"
R000078,1,J000019,5,"Product Manager"
R000078,2,J000023,5,"Product Manager"
R000078,3,J000028,5,"Product Manager"
R000079,1,J000001,5,"Data Analyst"
R000079,2,J000006,5,"Data Analyst"
R000079,3,J000011,5,"Data Analyst"
R000080,1,J000007,4,"Software Engineer"
R000080,2,J000068,4,"Software Engineer"
R000080,3,J000091,4,"Software Engineer"
R000081,1,J000015,4,"ML Engineer"
R000081,2,J000047,4,"ML Engineer"
R000081,3,J000048,4,"ML Engineer"
R000082,1,J000019,4,"Product Manager"
R000082,2,J000023,4,"Product Manager"
R000082,3,J000027,4,"Product Manager"
R000083,1,J000008,3,"Product Manager"
R000083,2,J000019,3,"Product Manager"
R000083,3,J000023,3,"Product Manager"
R000084,1,J000019,2,"Product Manager"
R000084,2,J000023,2,"Product Manager"
R000084,3,J000027,2,"Product Manager"
R000085,1,J000007,5,"Software Engineer"
R000085,2,J000068,5,"Software Engineer"
R000085,3,J000091,5,"Software Engineer"
R000086,1,J000002,3,"Data Scientist"
R000086,2,J000020,3,"Data Scientist"
R000086,3,J000032,3,"Data Scientist"
R000087,1,J000002,5,"Data Scientist"
R000087,2,J000020,5,"Data Scientist"
R000087,3,J000032,5,"Data Scientist"
R000088,1,J000001,3,"Data Analyst"
R000088,2,J000006,3,"Data Analyst"
R000088,3,J000011,3,"Data Analyst"
R000089,1,J000004,2,"ML Engineer"
R000089,2,J000015,2,"ML Engineer"
R000089,3,J000026,2,"ML Engineer"
R000090,1,J000001,3,"Data Analyst"
R000090,2,J000006,3,"Data Analyst"
R000090,3,J000011,3,"Data Analyst"
R000091,1,J000007,5,"Software Engineer"
R000091,2,J000068,5,"Software Engineer"
R000091,3,J000091,5,"Software Engineer"
R000092,1,J000007,3,"Software Engineer"
R000092,2,J000068,3,"Software Engineer"
R000092,3,J000070,3,"Software Engineer"
R000093,1,J000002,3,"Data Scientist"
R000093,2,J000020,3,"Data Scientist"
R000093,3,J000022,3,"Data Scientist"
R000094,1,J000019,5,"Product Manager"
R000094,2,J000023,5,"Product Manager"
R000094,3,J000028,5,"Product Manager"
R000095,1,J000001,3,"Data Analyst"
R000095,2,J000006,3,"Data Analyst"
R000095,3,J000009,3,"Data Analyst"
R000096,1,J000002,6,"Data Scientist"
R000096,2,J000020,6,"Data Scientist"
R000096,3,J000032,6,"Data Scientist"
R000097,1,J000003,3,"Software Engineer"
R000097,2,J000007,3,"Software Engineer"
R000097,3,J000068,3,"Software Engineer"
R000098,1,J000002,6,"Data Scientist"
R000098,2,J000020,6,"Data Scientist"
R000098,3,J000032,6,"Data Scientist"
R000099,1,J000002,1,"Data Scientist"
R000099,2,J000020,1,"Data Scientist"
R000099,3,J000032,1,"Data Scientist"
R000100,1,J000002,4,"Data Scientist"
R000100,2,J000020,4,"Data Scientist"
R000100,3,J000032,4,"Data Scientist"
R000101,1,J000015,6,"ML Engineer"
R000101,2,J000048,6,"ML Engineer"
R000101,3,J000073,6,"ML Engineer"
R000102,1,J000003,2,"Software Engineer"
R000102,2,J000007,2,"Software Engineer"
R000102,3,J000059,2,"Software Engineer"
R000103,1,J000007,5,"Software Engineer"
R000103,2,J000068,5,"Software Engineer"
R000103,3,J000091,5,"Software Engineer"
R000104,1,J000015,5,"ML Engineer"
R000104,2,J000048,5,"ML Engineer"
R000104,3,J000060,5,"ML Engineer"
R000105,1,J000015,6,"ML Engineer"
R000105,2,J000048,6,"ML Engineer"
R000105,3,J000073,6,"ML Engineer"
R000106,1,J000015,2,"ML Engineer"
R000106,2,J000047,2,"ML Engineer"
R000106,3,J000048,2,"ML Engineer"
R000107,1,J000003,3,"Software Engineer"
R000107,2,J000007,3,"Software Engineer"
R000107,3,J000068,3,"Software Engineer"
R000108,1,J000015,6,"ML Engineer"
R000108,2,J000048,6,"ML Engineer"
R000108,3,J000073,6,"ML Engineer"
R000109,1,J000001,6,"Data Analyst"
R000109,2,J000006,6,"Data Analyst"
R000109,3,J000011,6,"Data Analyst"
R000110,1,J000003,2,"Software Engineer"
R000110,2,J000005,2,"Software Engineer"
R000110,3,J000007,2,"Software Engineer"
R000111,1,J000004,1,"ML Engineer"
R000111,2,J000014,1,"ML Engineer"
R000111,3,J000015,1,"ML Engineer"
R000112,1,J000004,2,"ML Engineer"
R000112,2,J000010,2,"ML Engineer"
R000112,3,J000015,2,"ML Engineer"
R000113,1,J000007,5,"Software Engineer"
R000113,2,J000068,5,"Software Engineer"
R000113,3,J000091,5,"Software Engineer"
R000114,1,J000015,2,"ML Engineer"
R000114,2,J000047,2,"ML Engineer"
R000114,3,J000048,2,"ML Engineer"
R000115,1,J000002,3,"Data Scientist"
R000115,2,J000020,3,"Data Scientist"
R000115,3,J000032,3,"Data Scientist"
R000116,1,J000004,3,"ML Engineer"
R000116,2,J000015,3,"ML Engineer"
R000116,3,J000026,3,"ML Engineer"
R000117,1,J000005,2,"Software Engineer"
R000117,2,J000007,2,"Software Engineer"
R000117,3,J000038,2,"Software Engineer"
R000118,1,J000019,2,"Product Manager"
R000118,2,J000023,2,"Product Manager"
R000118,3,J000027,2,"Product Manager"
R000119,1,J000002,4,"Data Scientist"
R000119,2,J000020,4,"Data Scientist"
R000119,3,J000032,4,"Data Scientist"
R000120,1,J000007,6,"Software Engineer"
R000120,2,J000068,6,"Software Engineer"
R000120,3,J000091,6,"Software Engineer"
R000121,1,J000015,5,"ML Engineer"
R000121,2,J000047,5,"ML Engineer"
R000121,3,J000048,5,"ML Engineer"
R000122,1,J000008,3,"Product Manager"
R000122,2,J000013,3,"Product Manager"
R000122,3,J000019,3,"Product Manager"
R000123,1,J000001,5,"Data Analyst"
R000123,2,J000006,5,"Data Analyst"
R000123,3,J000011,5,"Data Analyst"
R000124,1,J000008,2,"Product Manager"
R000124,2,J000013,2,"Product Manager"
R000124,3,J000019,2,"Product Manager"
R000125,1,J000005,5,"Software Engineer"
R000125,2,J000007,5,"Software Engineer"
R000125,3,J000068,5,"Software Engineer"
R000126,1,J000001,6,"Data Analyst"
R000126,2,J000006,6,"Data Analyst"
R000126,3,J000011,6,"Data Analyst"
R000127,1,J000002,3,"Data Scientist"
R000127,2,J000016,3,"Data Scientist"
R000127,3,J000020,3,"Data Scientist"
R000128,1,J000001,3,"Data Analyst"
R000128,2,J000006,3,"Data Analyst"
R000128,3,J000009,3,"Data Analyst"
R000129,1,J000004,4,"ML Engineer"
R000129,2,J000015,4,"ML Engineer"
R000129,3,J000048,4,"ML Engineer"
R000130,1,J000004,3,"ML Engineer"
R000130,2,J000015,3,"ML Engineer"
R000130,3,J000026,3,"ML Engineer"
R000131,1,J000015,4,"ML Engineer"
R000131,2,J000048,4,"ML Engineer"
R000131,3,J000064,4,"ML Engineer"
R000132,1,J000002,2,"Data Scientist"
R000132,2,J000020,2,"Data Scientist"
R000132,3,J000032,2,"Data Scientist"
R000133,1,J000015,4,"ML Engineer"
R000133,2,J000047,4,"ML Engineer"
R000133,3,J000048,4,"ML Engineer"
R000134,1,J000001,3,"Data Analyst"
R000134,2,J000006,3,"Data Analyst"
R000134,3,J000011,3,"Data Analyst"
R000135,1,J000019,5,"Product Manager"
R000135,2,J000023,5,"Product Manager"
R000135,3,J000028,5,"Product Manager"
R000136,1,J000019,4,"Product Manager"
R000136,2,J000023,4,"Product Manager"
R000136,3,J000028,4,"Product Manager"
R000137,1,J000001,3,"Data Analyst"
R000137,2,J000006,3,"Data Analyst"
R000137,3,J000009,3,"Data Analyst"
R000138,1,J000002,4,"Data Scientist"
R000138,2,J000020,4,"Data Scientist"
R000138,3,J000032,4,"Data Scientist"
R000139,1,J000001,6,"Data Analyst"
R000139,2,J000006,6,"Data Analyst"
R000139,3,J000011,6,"Data Analyst"
R000140,1,J000005,2,"Software Engineer"
R000140,2,J000007,2,"Software Engineer"
R000140,3,J000034,2,"Software Engineer"
R000141,1,J000019,5,"Product Manager"
R000141,2,J000023,5,"Product Manager"
R000141,3,J000028,5,"Product Manager"
R000142,1,J000019,5,"Product Manager"
R000142,2,J000023,5,"Product Manager"
R000142,3,J000028,5,"Product Manager"
R000143,1,J000002,4,"Data Scientist"
R000143,2,J000020,4,"Data Scientist"
R000143,3,J000032,4,"Data Scientist"
R000144,1,J000019,3,"Product Manager"
R000144,2,J000023,3,"Product Manager"
R000144,3,J000028,3,"Product Manager"
R000145,1,J000004,2,"ML Engineer"
R000145,2,J000015,2,"ML Engineer"
R000145,3,J000026,2,"ML Engineer"
R000146,1,J000001,2,"Data Analyst"
R000146,2,J000006,2,"Data Analyst"
R000146,3,J000009,2,"Data Analyst"
R000147,1,J000019,3,"Product Manager"
R000147,2,J000023,3,"Product Manager"
R000147,3,J000027,3,"Product Manager"
R000148,1,J000001,3,"Data Analyst"
R000148,2,J000006,3,"Data Analyst"
R000148,3,J000011,3,"Data Analyst"
R000149,1,J000002,3,"Data Scientist"
R000149,2,J000016,3,"Data Scientist"
R000149,3,J000020,3,"Data Scientist"
R000150,1,J000004,2,"ML Engineer"
R000150,2,J000014,2,"ML Engineer"
R000150,3,J000015,2,"ML Engineer"
R000151,1,J000001,5,"Data Analyst"
R000151,2,J000006,5,"Data Analyst"
R000151,3,J000009,5,"Data Analyst"
R000152,1,J000002,2,"Data Scientist"
R000152,2,J000020,2,"Data Scientist"
R000152,3,J000032,2,"Data Scientist"
R000153,1,J000001,6,"Data Analyst"
R000153,2,J000006,6,"Data Analyst"
R000153,3,J000011,6,"Data Analyst"
R000154,1,J000005,3,"Software Engineer"
R000154,2,J000007,3,"Software Engineer"
R000154,3,J000034,3,"Software Engineer"
R000155,1,J000001,2,"Data Analyst"
R000155,2,J000006,2,"Data Analyst"
R000155,3,J000009,2,"Data Analyst"
R000156,1,J000002,2,"Data Scientist"
R000156,2,J000016,2,"Data Scientist"
R000156,3,J000020,2,"Data Scientist"
R000157,1,J000002,4,"Data Scientist"
R000157,2,J000020,4,"Data Scientist"
R000157,3,J000032,4,"Data Scientist"
R000158,1,J000015,2,"ML Engineer"
R000158,2,J000047,2,"ML Engineer"
R000158,3,J000048,2,"ML Engineer"
R000159,1,J000002,5,"Data Scientist"
R000159,2,J000020,5,"Data Scientist"
R000159,3,J000032,5,"Data Scientist"
R000160,1,J000001,6,"Data Analyst"
R000160,2,J000006,6,"Data Analyst"
R000160,3,J000011,6,"Data Analyst"
R000161,1,J000002,5,"Data Scientist"
R000161,2,J000020,5,"Data Scientist"
R000161,3,J000032,5,"Data Scientist"
R000162,1,J000015,4,"ML Engineer"
R000162,2,J000048,4,"ML Engineer"
R000162,3,J000060,4,"ML Engineer"
R000163,1,J000002,1,"Data Scientist"
R000163,2,J000016,1,"Data Scientist"
R000163,3,J000020,1,"Data Scientist"
R000164,1,J000005,5,"Software Engineer"
R000164,2,J000007,5,"Software Engineer"
R000164,3,J000068,5,"Software Engineer"
R000165,1,J000008,1,"Product Manager"
R000165,2,J000013,1,"Product Manager"
R000165,3,J000019,1,"Product Manager"
R000166,1,J000002,4,"Data Scientist"
R000166,2,J000020,4,"Data Scientist"
R000166,3,J000022,4,"Data Scientist"
R000167,1,J000019,5,"Product Manager"
R000167,2,J000023,5,"Product Manager"
R000167,3,J000028,5,"Product Manager"
R000168,1,J000001,3,"Data Analyst"
R000168,2,J000006,3,"Data Analyst"
R000168,3,J000011,3,"Data Analyst"
R000169,1,J000002,5,"Data Scientist"
R000169,2,J000020,5,"Data Scientist"
R000169,3,J000032,5,"Data Scientist"
R000170,1,J000015,4,"ML Engineer"
R000170,2,J000048,4,"ML Engineer"
R000170,3,J000060,4,"ML Engineer"
R000171,1,J000019,4,"Product Manager"
R000171,2,J000023,4,"Product Manager"
R000171,3,J000027,4,"Product Manager"
R000172,1,J000015,2,"ML Engineer"
R000172,2,J000047,2,"ML Engineer"
R000172,3,J000048,2,"ML Engineer"
R000173,1,J000003,4,"Software Engineer"
R000173,2,J000007,4,"Software Engineer"
R000173,3,J000068,4,"Software Engineer"
R000174,1,J000001,3,"Data Analyst"
R000174,2,J000006,3,"Data Analyst"
R000174,3,J000009,3,"Data Analyst"
R000175,1,J000019,4,"Product Manager"
R000175,2,J000023,4,"Product Manager"
R000175,3,J000027,4,"Product Manager"
R000176,1,J000015,4,"ML Engineer"
R000176,2,J000048,4,"ML Engineer"
R000176,3,J000073,4,"ML Engineer"
R000177,1,J000001,4,"Data Analyst"
R000177,2,J000006,4,"Data Analyst"
R000177,3,J000011,4,"Data Analyst"
R000178,1,J000015,7,"ML Engineer"
R000178,2,J000048,7,"ML Engineer"
R000178,3,J000073,7,"ML Engineer"
R000179,1,J000019,2,"Product Manager"
R000179,2,J000023,2,"Product Manager"
R000179,3,J000028,2,"Product Manager"
R000180,1,J000002,5,"Data Scientist"
R000180,2,J000020,5,"Data Scientist"
R000180,3,J000032,5,"Data Scientist"
R000181,1,J000002,3,"Data Scientist"
R000181,2,J000020,3,"Data Scientist"
R000181,3,J000032,3,"Data Scientist"
R000182,1,J000007,5,"Software Engineer"
R000182,2,J000068,5,"Software Engineer"
R000182,3,J000091,5,"Software Engineer"
R000183,1,J000003,3,"Software Engineer"
R000183,2,J000005,3,"Software Engineer"
R000183,3,J000007,3,"Software Engineer"
R000184,1,J000007,5,"Software Engineer"
R000184,2,J000068,5,"Software Engineer"
R000184,3,J000091,5,"Software Engineer"
R000185,1,J000002,4,"Data Scientist"
R000185,2,J000020,4,"Data Scientist"
R000185,3,J000022,4,"Data Scientist"
R000186,1,J000001,2,"Data Analyst"
R000186,2,J000006,2,"Data Analyst"
R000186,3,J000011,2,"Data Analyst"
R000187,1,J000019,5,"Product Manager"
R000187,2,J000023,5,"Product Manager"
R000187,3,J000028,5,"Product Manager"
R000188,1,J000001,4,"Data Analyst"
R000188,2,J000006,4,"Data Analyst"
R000188,3,J000011,4,"Data Analyst"
R000189,1,J000019,5,"Product Manager"
R000189,2,J000023,5,"Product Manager"
R000189,3,J000028,5,"Product Manager"
R000190,1,J000005,3,"Software Engineer"
R000190,2,J000007,3,"Software Engineer"
R000190,3,J000034,3,"Software Engineer"
R000191,1,J000003,3,"Software Engineer"
R000191,2,J000005,3,"Software Engineer"
R000191,3,J000007,3,"Software Engineer"
R000192,1,J000007,5,"Software Engineer"
R000192,2,J000068,5,"Software Engineer"
R000192,3,J000091,5,"Software Engineer"
R000193,1,J000001,4,"Data Analyst"
R000193,2,J000006,4,"Data Analyst"
R000193,3,J000011,4,"Data Analyst"
R000194,1,J000019,3,"Product Manager"
R000194,2,J000023,3,"Product Manager"
R000194,3,J000027,3,"Product Manager"
R000195,1,J000001,5,"Data Analyst"
R000195,2,J000006,5,"Data Analyst"
R000195,3,J000011,5,"Data Analyst"
R000196,1,J000002,4,"Data Scientist"
R000196,2,J000020,4,"Data Scientist"
R000196,3,J000032,4,"Data Scientist"
R000197,1,J000007,3,"Software Engineer"
R000197,2,J000068,3,"Software Engineer"
R000197,3,J000070,3,"Software Engineer"
R000198,1,J000001,5,"Data Analyst"
R000198,2,J000006,5,"Data Analyst"
R000198,3,J000009,5,"Data Analyst"
R000199,1,J000001,4,"Data Analyst"
R000199,2,J000006,4,"Data Analyst"
R000199,3,J000011,4,"Data Analyst"
R000200,1,J000001,3,"Data Analyst"
R000200,2,J000006,3,"Data Analyst"
R000200,3,J000009,3,"Data Analyst"
R000201,1,J000001,5,"Data Analyst"
R000201,2,J000006,5,"Data Analyst"
R000201,3,J000011,5,"Data Analyst"
R000202,1,J000019,5,"Product Manager"
R000202,2,J000023,5,"Product Manager"
R000202,3,J000028,5,"Product Manager"
R000203,1,J000008,2,"Product Manager"
R000203,2,J000019,2,"Product Manager"
R000203,3,J000023,2,"Product Manager"
R000204,1,J000001,6,"Data Analyst"
R000204,2,J000006,6,"Data Analyst"
R000204,3,J000011,6,"Data Analyst"
R000205,1,J000007,3,"Software Engineer"
R000205,2,J000045,3,"Software Engineer"
R000205,3,J000068,3,"Software Engineer"
R000206,1,J000001,5,"Data Analyst"
R000206,2,J000006,5,"Data Analyst"
R000206,3,J000011,5,"Data Analyst"
R000207,1,J000015,3,"ML Engineer"
R000207,2,J000048,3,"ML Engineer"
R000207,3,J000060,3,"ML Engineer"
R000208,1,J000008,2,"Product Manager"
R000208,2,J000013,2,"Product Manager"
R000208,3,J000019,2,"Product Manager"
R000209,1,J000002,5,"Data Scientist"
R000209,2,J000020,5,"Data Scientist"
R000209,3,J000032,5,"Data Scientist"
R000210,1,J000002,1,"Data Scientist"
R000210,2,J000004,1,"ML Engineer"
R000210,3,J000010,1,"ML Engineer"
R000211,1,J000001,4,"Data Analyst"
R000211,2,J000006,4,"Data Analyst"
R000211,3,J000011,4,"Data Analyst"
R000212,1,J000002,3,"Data Scientist"
R000212,2,J000020,3,"Data Scientist"
R000212,3,J000032,3,"Data Scientist"
R000213,1,J000019,3,"Product Manager"
R000213,2,J000023,3,"Product Manager"
R000213,3,J000028,3,"Product Manager"
R000214,1,J000015,3,"ML Engineer"
R000214,2,J000047,3,"ML Engineer"
R000214,3,J000048,3,"ML Engineer"
R000215,1,J000004,3,"ML Engineer"
R000215,2,J000015,3,"ML Engineer"
R000215,3,J000026,3,"ML Engineer"
R000216,1,J000008,4,"Product Manager"
R000216,2,J000019,4,"Product Manager"
R000216,3,J000023,4,"Product Manager"
R000217,1,J000005,5,"Software Engineer"
R000217,2,J000007,5,"Software Engineer"
R000217,3,J000068,5,"Software Engineer"
R000218,1,J000002,3,"Data Scientist"
R000218,2,J000020,3,"Data Scientist"
R000218,3,J000032,3,"Data Scientist"
R000219,1,J000007,3,"Software Engineer"
R000219,2,J000040,3,"Software Engineer"
R000219,3,J000068,3,"Software Engineer"
R000220,1,J000002,3,"Data Scientist"
R000220,2,J000020,3,"Data Scientist"
R000220,3,J000032,3,"Data Scientist"
R000221,1,J000003,1,"Software Engineer"
R000221,2,J000005,1,"Software Engineer"
R000221,3,J000007,1,"Software Engineer"
R000222,1,J000002,5,"Data Scientist"
R000222,2,J000020,5,"Data Scientist"
R000222,3,J000032,5,"Data Scientist"
R000223,1,J000001,5,"Data Analyst"
R000223,2,J000006,5,"Data Analyst"
R000223,3,J000011,5,"Data Analyst"
R000224,1,J000005,5,"Software Engineer"
